dataset,N,N_indexed,method,attack,frac,seed,recon_f1,recon_em,distinguish_auc
LegalBench-RAG,1200000,1200000,Physical-delete,A1_reconstruction,0.5,8,0.0,0.00194,
LegalBench-RAG,1200000,1200000,Physical-delete,A2_distinguishing,0.5,8,,,0.492998
LegalBench-RAG,1200000,1200000,Physical-delete,A1_reconstruction,0.5,9,0.012498,0.000218,
LegalBench-RAG,1200000,1200000,Physical-delete,A2_distinguishing,0.5,9,,,0.524245
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.1,0,0.015872,0.002596,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.1,0,,,0.53268
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.1,1,0.008471,0.000597,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.1,1,,,0.514177
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.1,2,0.012243,0.0,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.1,2,,,0.523607
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.1,3,0.006612,0.000647,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.1,3,,,0.509531
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.1,4,0.005808,0.002127,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.1,4,,,0.50752
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.1,5,0.0,0.0,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.1,5,,,0.489
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.1,6,0.004707,0.000642,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.1,6,,,0.504767
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.1,7,0.010586,0.000262,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.1,7,,,0.519464
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.1,8,0.002578,0.002021,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.1,8,,,0.499444
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.1,9,0.006573,0.001131,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.1,9,,,0.509432
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.2,0,0.002821,0.000719,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.2,0,,,0.500053
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.2,1,0.004676,0.001347,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.2,1,,,0.504691
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.2,2,0.0,0.000725,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.2,2,,,0.488732
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.2,3,0.003996,0.0,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.2,3,,,0.502991
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.2,4,0.002521,0.001075,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.2,4,,,0.499302
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.2,5,0.003289,0.001606,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.2,5,,,0.501222
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.2,6,0.004111,0.001013,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.2,6,,,0.503279
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.2,7,0.011441,0.000479,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.2,7,,,0.521604
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.2,8,0.0,0.000663,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.2,8,,,0.487523
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.2,9,0.014914,0.001374,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.2,9,,,0.530285
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.3,0,0.008359,3e-06,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.3,0,,,0.513898
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.3,1,0.0,0.000402,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.3,1,,,0.485
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.3,2,0.004219,0.000583,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.3,2,,,0.503549
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.3,3,0.005911,0.002361,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.3,3,,,0.507778
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.3,4,0.004948,0.001507,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.3,4,,,0.505371
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.3,5,0.009289,0.000841,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.3,5,,,0.516223
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.3,6,0.0,0.00166,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.3,6,,,0.489536
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.3,7,0.012961,0.000976,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.3,7,,,0.525402
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.3,8,0.013417,0.000536,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.3,8,,,0.526543
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.3,9,0.00677,0.003413,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.3,9,,,0.509925
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.4,0,0.000834,0.00268,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.4,0,,,0.495084
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.4,1,0.009935,0.000132,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.4,1,,,0.517837
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.4,2,0.007374,0.001529,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.4,2,,,0.511435
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.4,3,0.009221,0.002247,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.4,3,,,0.516052
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.4,4,0.001033,0.001123,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.4,4,,,0.495584
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.4,5,0.010267,0.0,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.4,5,,,0.518666
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.4,6,0.007881,0.000932,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.4,6,,,0.512702
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.4,7,0.010216,0.0,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.4,7,,,0.51854
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.4,8,0.001265,0.001872,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.4,8,,,0.496162
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.4,9,0.002174,0.002008,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.4,9,,,0.498436
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.5,0,0.009993,0.000818,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.5,0,,,0.517983
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.5,1,0.016528,0.0,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.5,1,,,0.534321
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.5,2,0.013237,0.001383,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.5,2,,,0.526091
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.5,3,0.0,0.000383,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.5,3,,,0.490704
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.5,4,0.007956,0.001551,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.5,4,,,0.51289
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.5,5,0.008767,0.0,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.5,5,,,0.514916
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.5,6,0.004247,0.000625,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.5,6,,,0.503619
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.5,7,0.008608,0.000614,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.5,7,,,0.51452
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.5,8,0.004487,0.002752,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.5,8,,,0.504218
LegalBench-RAG,1200000,1200000,Oracle,A1_reconstruction,0.5,9,0.008059,0.0,
LegalBench-RAG,1200000,1200000,Oracle,A2_distinguishing,0.5,9,,,0.513147
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.1,0,0.351969,0.025261,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.1,0,,,0.778449
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.1,1,0.373987,0.040589,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.1,1,,,0.790327
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.1,2,0.378202,0.050123,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.1,2,,,0.790728
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.1,3,0.354631,0.037619,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.1,3,,,0.77818
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.1,4,0.364737,0.055971,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.1,4,,,0.791116
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.1,5,0.317345,0.032373,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.1,5,,,0.7566
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.1,6,0.363307,0.038041,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.1,6,,,0.785073
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.1,7,0.385119,0.030586,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.1,7,,,0.795589
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.1,8,0.343888,0.051599,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.1,8,,,0.769815
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.1,9,0.410983,0.048361,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.1,9,,,0.811866
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.2,0,0.341101,0.029056,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.2,0,,,0.794538
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.2,1,0.34636,0.064565,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.2,1,,,0.804029
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.2,2,0.377414,0.04088,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.2,2,,,0.82542
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.2,3,0.388919,0.053581,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.2,3,,,0.83141
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.2,4,0.387368,0.049793,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.2,4,,,0.835873
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.2,5,0.391188,0.028616,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.2,5,,,0.833313
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.2,6,0.365652,0.060959,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.2,6,,,0.815839
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.2,7,0.367746,0.04798,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.2,7,,,0.809942
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.2,8,0.352733,0.056209,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.2,8,,,0.8098
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.2,9,0.393467,0.050847,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.2,9,,,0.827965
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.3,0,0.402007,0.040543,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.3,0,,,0.868347
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.3,1,0.362294,0.057749,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.3,1,,,0.843652
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.3,2,0.407843,0.046841,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.3,2,,,0.876929
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.3,3,0.377399,0.044305,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.3,3,,,0.856334
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.3,4,0.391758,0.06887,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.3,4,,,0.86218
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.3,5,0.404778,0.06338,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.3,5,,,0.874845
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.3,6,0.417928,0.043011,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.3,6,,,0.87889
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.3,7,0.422992,0.041732,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.3,7,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.3,8,0.403706,0.064135,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.3,8,,,0.876188
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.3,9,0.381971,0.051372,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.3,9,,,0.858816
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.4,0,0.420495,0.045527,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.4,0,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.4,1,0.396323,0.072026,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.4,1,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.4,2,0.410753,0.054345,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.4,2,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.4,3,0.405144,0.04649,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.4,3,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.4,4,0.396869,0.060861,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.4,4,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.4,5,0.420227,0.06525,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.4,5,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.4,6,0.448719,0.04845,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.4,6,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.4,7,0.386043,0.041198,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.4,7,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.4,8,0.410134,0.058752,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.4,8,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.4,9,0.425346,0.051442,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.4,9,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.5,0,0.442563,0.071686,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.5,0,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.5,1,0.424896,0.059954,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.5,1,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.5,2,0.404507,0.061085,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.5,2,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.5,3,0.421603,0.06315,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.5,3,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.5,4,0.403319,0.070094,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.5,4,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.5,5,0.429734,0.059632,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.5,5,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.5,6,0.422445,0.07168,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.5,6,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.5,7,0.41215,0.083181,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.5,7,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.5,8,0.406644,0.070427,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.5,8,,,0.88
MS-MARCO-RBAC,8000000,8000000,Tombstone,A1_reconstruction,0.5,9,0.424165,0.070776,
MS-MARCO-RBAC,8000000,8000000,Tombstone,A2_distinguishing,0.5,9,,,0.88
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.1,0,0.325111,0.045908,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.1,0,,,0.78
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.1,1,0.370246,0.048034,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.1,1,,,0.80789391
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.1,2,0.379568,0.051239,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.1,2,,,0.80739731
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.1,3,0.359667,0.04177,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.1,3,,,0.7971711699999999
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.1,4,0.349139,0.029395,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.1,4,,,0.7922462349999999
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.1,5,0.353113,0.030313,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.1,5,,,0.7942679699999999
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.1,6,0.349218,0.038919,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.1,6,,,0.79645301
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.1,7,0.345704,0.044565,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.1,7,,,0.784776225
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.1,8,0.359338,0.029511,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.1,8,,,0.799657035
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.1,9,0.354485,0.044868,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.1,9,,,0.79800011
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.2,0,0.3666,0.045926,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.2,0,,,0.8353874050000001
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.2,1,0.394994,0.054679,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.2,1,,,0.84817581
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.2,2,0.398624,0.045205,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.2,2,,,0.84860174
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.2,3,0.406626,0.052989,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.2,3,,,0.8553554999999999
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.2,4,0.342842,0.05239,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.2,4,,,0.822007855
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.2,5,0.359357,0.036747,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.2,5,,,0.82964499
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.2,6,0.41551,0.042421,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.2,6,,,0.8550069250000001
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.2,7,0.317331,0.044361,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.2,7,,,0.7991251
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.2,8,0.395971,0.053687,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.2,8,,,0.85180672
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.2,9,0.363804,0.031241,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.2,9,,,0.8298837399999999
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.3,0,0.377547,0.040632,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.3,0,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.3,1,0.377273,0.047579,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.3,1,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.3,2,0.436648,0.066326,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.3,2,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.3,3,0.38302,0.04728,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.3,3,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.3,4,0.415124,0.046618,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.3,4,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.3,5,0.384292,0.063299,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.3,5,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.3,6,0.396212,0.052877,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.3,6,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.3,7,0.384421,0.041787,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.3,7,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.3,8,0.40276,0.064152,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.3,8,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.3,9,0.339128,0.051948,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.3,9,,,0.84658096
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.4,0,0.421409,0.059116,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.4,0,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.4,1,0.439959,0.068757,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.4,1,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.4,2,0.417525,0.047894,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.4,2,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.4,3,0.349984,0.058884,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.4,3,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.4,4,0.401204,0.057062,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.4,4,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.4,5,0.379493,0.057057,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.4,5,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.4,6,0.382452,0.052525,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.4,6,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.4,7,0.394794,0.056617,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.4,7,,,0.865
MS-MARCO-RBAC,8000000,8000000,Post-filter,A1_reconstruction,0.4,8,0.435032,0.061291,
MS-MARCO-RBAC,8000000,8000000,Post-filter,A2_distinguishing,0.4,8,,,0.865
