dataset,N,N_indexed,pattern,frac,seed,graph_variant,edge_overlap_with_oracle,authorized_largest_component_fraction,avg_shortest_path_length_authorized,out_degree_mean,in_degree_mean,hub_coverage,greedy_search_success_rate,query_expanded_nodes,query_path_length,unauthorized_overlay_endpoint_count
LegalBench-RAG,1200000,1200000,cluster,0.2,0,no-bypass,0.362331,0.923321,4.273309,16.378716,15.6585,0.88,0.870418,17470,7.048709,0
LegalBench-RAG,1200000,1200000,cluster,0.2,1,no-bypass,0.343284,0.917613,4.271921,16.563032,15.825511,0.88,0.871385,17531,7.165299,0
LegalBench-RAG,1200000,1200000,cluster,0.2,2,no-bypass,0.353194,0.914434,4.24656,15.769227,16.175909,0.88,0.871468,18903,7.110313,0
LegalBench-RAG,1200000,1200000,cluster,0.2,3,no-bypass,0.362834,0.914956,4.293085,15.902602,17.192161,0.88,0.870023,17948,6.909348,0
LegalBench-RAG,1200000,1200000,cluster,0.2,4,no-bypass,0.416291,0.914562,4.154015,16.458945,15.554527,0.88,0.875652,18429,7.24145,0
LegalBench-RAG,1200000,1200000,cluster,0.2,0,physical-delete-local-repair,0.455063,0.964941,3.668724,15.947846,16.409689,0.88,0.940723,15759,6.148721,0
LegalBench-RAG,1200000,1200000,cluster,0.2,1,physical-delete-local-repair,0.473561,0.969578,3.731961,15.861181,16.250989,0.88,0.942412,15976,6.029064,0
LegalBench-RAG,1200000,1200000,cluster,0.2,2,physical-delete-local-repair,0.47285,0.967139,3.687072,15.883447,16.834059,0.88,0.936036,16597,6.076361,0
LegalBench-RAG,1200000,1200000,cluster,0.2,3,physical-delete-local-repair,0.455754,0.971941,3.725741,16.338398,15.851701,0.88,0.932202,15801,5.85227,0
LegalBench-RAG,1200000,1200000,cluster,0.2,4,physical-delete-local-repair,0.456423,0.970272,3.820298,16.007593,16.210407,0.88,0.942796,16330,6.054377,0
LegalBench-RAG,1200000,1200000,cluster,0.3,0,base-before-revocation,0.0,0.998947,3.093949,16.172866,16.17583,0.88,0.983032,14295,5.03081,0
LegalBench-RAG,1200000,1200000,cluster,0.3,1,base-before-revocation,0.0,1.0,3.141392,15.636689,15.661757,0.88,0.989571,13706,5.04787,0
LegalBench-RAG,1200000,1200000,cluster,0.3,2,base-before-revocation,0.0,1.0,3.162465,16.022026,16.247459,0.88,0.99618,13372,5.060139,0
LegalBench-RAG,1200000,1200000,cluster,0.3,3,base-before-revocation,0.0,0.99793,3.152139,15.694798,15.965997,0.88,0.990053,13558,5.029985,0
LegalBench-RAG,1200000,1200000,cluster,0.3,4,base-before-revocation,0.0,1.0,3.117066,16.015804,16.252814,0.88,0.988415,13613,5.115912,0
LegalBench-RAG,1200000,1200000,cluster,0.3,0,oracle-rebuild-authorized,1.0,0.99489,3.182476,16.033195,15.498551,0.96,0.982758,14174,5.118997,0
LegalBench-RAG,1200000,1200000,cluster,0.3,1,oracle-rebuild-authorized,1.0,1.0,3.265483,16.445424,15.675665,0.96,0.97634,13587,5.248567,0
LegalBench-RAG,1200000,1200000,cluster,0.3,2,oracle-rebuild-authorized,1.0,0.989648,3.256081,16.487084,15.927843,0.96,0.9805,14508,5.195097,0
LegalBench-RAG,1200000,1200000,cluster,0.3,3,oracle-rebuild-authorized,1.0,0.992338,3.175805,16.532645,16.368178,0.96,0.985414,13641,5.122788,0
LegalBench-RAG,1200000,1200000,cluster,0.3,4,oracle-rebuild-authorized,1.0,0.996178,3.130362,16.14682,16.532446,0.96,0.978611,13344,5.084639,0
LegalBench-RAG,1200000,1200000,cluster,0.3,0,lethe-pruned-bypass,0.563718,0.985963,3.473483,16.470281,15.670898,0.96,0.975502,14939,5.687401,0
LegalBench-RAG,1200000,1200000,cluster,0.3,1,lethe-pruned-bypass,0.504609,0.983416,3.437396,15.815074,15.345717,0.96,0.974736,15047,5.563384,0
LegalBench-RAG,1200000,1200000,cluster,0.3,2,lethe-pruned-bypass,0.536838,0.990626,3.44133,16.33605,16.133179,0.96,0.967088,14919,5.554403,0
LegalBench-RAG,1200000,1200000,cluster,0.3,3,lethe-pruned-bypass,0.523628,0.986575,3.484114,16.091869,16.480574,0.96,0.973189,15409,5.537151,0
LegalBench-RAG,1200000,1200000,cluster,0.3,4,lethe-pruned-bypass,0.512373,0.98761,3.415175,15.750182,17.070083,0.96,0.9677,15102,5.511586,0
LegalBench-RAG,1200000,1200000,cluster,0.3,0,lethe-full-bypass,0.619414,0.986061,3.276938,15.494321,15.407685,0.96,0.973531,13738,5.28165,0
LegalBench-RAG,1200000,1200000,cluster,0.3,1,lethe-full-bypass,0.618831,0.995339,3.346279,16.737528,17.059003,0.96,0.975364,14882,5.314032,0
LegalBench-RAG,1200000,1200000,cluster,0.3,2,lethe-full-bypass,0.584585,1.0,3.329451,15.821196,15.921593,0.96,0.978247,14751,5.217685,0
LegalBench-RAG,1200000,1200000,cluster,0.3,3,lethe-full-bypass,0.575008,0.993485,3.332793,16.256845,15.883864,0.96,0.983266,14303,5.336449,0
LegalBench-RAG,1200000,1200000,cluster,0.3,4,lethe-full-bypass,0.578734,0.991173,3.301181,15.918118,15.989996,0.96,0.979008,15431,5.392395,0
LegalBench-RAG,1200000,1200000,cluster,0.3,0,no-bypass,0.354617,0.910178,4.407875,16.196564,16.64279,0.88,0.865691,17990,7.057267,0
LegalBench-RAG,1200000,1200000,cluster,0.3,1,no-bypass,0.350069,0.909864,4.396054,16.124432,15.705918,0.88,0.851905,17644,7.150195,0
LegalBench-RAG,1200000,1200000,cluster,0.3,2,no-bypass,0.359675,0.911455,4.4149,15.379722,16.01306,0.88,0.860818,17553,7.044518,0
LegalBench-RAG,1200000,1200000,cluster,0.3,3,no-bypass,0.374996,0.908352,4.439854,16.218147,15.987754,0.88,0.856911,17280,7.063249,0
LegalBench-RAG,1200000,1200000,cluster,0.3,4,no-bypass,0.315375,0.911528,4.434943,15.593191,16.47622,0.88,0.862679,18468,7.04231,0
LegalBench-RAG,1200000,1200000,cluster,0.3,0,physical-delete-local-repair,0.413999,0.970559,3.759208,16.047798,15.869263,0.88,0.931928,15995,5.918511,0
LegalBench-RAG,1200000,1200000,cluster,0.3,1,physical-delete-local-repair,0.426355,0.967545,3.759999,16.190258,15.915621,0.88,0.932052,15963,6.057646,0
LegalBench-RAG,1200000,1200000,cluster,0.3,2,physical-delete-local-repair,0.437894,0.970372,3.720751,15.896979,15.629143,0.88,0.944072,16301,6.046342,0
LegalBench-RAG,1200000,1200000,cluster,0.3,3,physical-delete-local-repair,0.453072,0.969347,3.758051,15.758023,16.648795,0.88,0.94382,16625,5.82557,0
LegalBench-RAG,1200000,1200000,cluster,0.3,4,physical-delete-local-repair,0.491634,0.968812,3.728615,15.000892,16.117121,0.88,0.948393,16854,6.006178,0
LegalBench-RAG,1200000,1200000,cluster,0.4,0,base-before-revocation,0.0,0.992069,3.122957,15.93323,16.354278,0.88,0.9763,14290,4.979596,0
LegalBench-RAG,1200000,1200000,cluster,0.4,1,base-before-revocation,0.0,0.997151,3.16941,16.404941,15.876287,0.88,0.975601,14469,5.06339,0
LegalBench-RAG,1200000,1200000,cluster,0.4,2,base-before-revocation,0.0,0.991402,3.163299,16.310579,15.781466,0.88,0.981281,13377,4.90686,0
LegalBench-RAG,1200000,1200000,cluster,0.4,3,base-before-revocation,0.0,0.996802,3.189263,16.285473,15.642727,0.88,1.0,13455,4.81177,0
LegalBench-RAG,1200000,1200000,cluster,0.4,4,base-before-revocation,0.0,0.997743,3.090712,15.88158,16.57978,0.88,0.98378,14254,4.888236,0
LegalBench-RAG,1200000,1200000,cluster,0.4,0,oracle-rebuild-authorized,1.0,0.996683,3.204161,16.008843,15.962977,0.96,0.984825,13638,5.305526,0
LegalBench-RAG,1200000,1200000,cluster,0.4,1,oracle-rebuild-authorized,1.0,0.992685,3.259949,15.826555,16.253322,0.96,0.980836,13908,5.239395,0
LegalBench-RAG,1200000,1200000,cluster,0.4,2,oracle-rebuild-authorized,1.0,0.998756,3.208124,16.271738,16.310135,0.96,0.984378,14445,5.011519,0
LegalBench-RAG,1200000,1200000,cluster,0.4,3,oracle-rebuild-authorized,1.0,0.997716,3.266289,16.700917,15.527607,0.96,0.980759,13755,5.14586,0
LegalBench-RAG,1200000,1200000,cluster,0.4,4,oracle-rebuild-authorized,1.0,0.994127,3.068419,15.702967,15.41874,0.96,0.97718,13998,5.332834,0
LegalBench-RAG,1200000,1200000,cluster,0.4,0,lethe-pruned-bypass,0.522413,0.988805,3.387914,15.573723,15.481178,0.96,0.978178,15345,5.566474,0
LegalBench-RAG,1200000,1200000,cluster,0.4,1,lethe-pruned-bypass,0.549922,0.986757,3.450121,15.239114,16.331246,0.96,0.966814,16068,5.636865,0
LegalBench-RAG,1200000,1200000,cluster,0.4,2,lethe-pruned-bypass,0.487698,0.988455,3.415274,16.183778,15.622465,0.96,0.967106,15803,5.499547,0
LegalBench-RAG,1200000,1200000,cluster,0.4,3,lethe-pruned-bypass,0.515493,0.985941,3.455524,16.100549,15.97781,0.96,0.976727,15251,5.465699,0
LegalBench-RAG,1200000,1200000,cluster,0.4,4,lethe-pruned-bypass,0.494157,0.993795,3.467699,15.773554,16.356027,0.96,0.966233,15050,5.387004,0
LegalBench-RAG,1200000,1200000,cluster,0.4,0,lethe-full-bypass,0.595191,0.988168,3.301838,15.638826,16.188243,0.96,0.985085,14524,5.305115,0
LegalBench-RAG,1200000,1200000,cluster,0.4,1,lethe-full-bypass,0.642696,0.992191,3.291269,16.201072,16.507659,0.96,0.98251,14951,5.444372,0
LegalBench-RAG,1200000,1200000,cluster,0.4,2,lethe-full-bypass,0.603186,0.990263,3.290474,15.966104,16.224266,0.96,0.969587,14147,5.184423,0
LegalBench-RAG,1200000,1200000,cluster,0.4,3,lethe-full-bypass,0.602369,0.991919,3.342022,16.236272,15.513463,0.96,0.976584,13680,5.384907,0
LegalBench-RAG,1200000,1200000,cluster,0.4,4,lethe-full-bypass,0.620147,0.992536,3.205313,16.339624,16.27377,0.96,0.970272,15215,5.407984,0
LegalBench-RAG,1200000,1200000,cluster,0.4,0,no-bypass,0.359365,0.901638,4.504045,15.812822,15.864063,0.88,0.836089,17458,7.032056,0
LegalBench-RAG,1200000,1200000,cluster,0.4,1,no-bypass,0.348596,0.907512,4.506559,15.811747,16.137372,0.88,0.852197,17977,7.221225,0
LegalBench-RAG,1200000,1200000,cluster,0.4,2,no-bypass,0.3438,0.900679,4.485483,15.807209,14.926839,0.88,0.84537,18182,7.105881,0
LegalBench-RAG,1200000,1200000,cluster,0.4,3,no-bypass,0.334729,0.904565,4.505827,16.406666,16.761872,0.88,0.859959,17575,7.125107,0
LegalBench-RAG,1200000,1200000,cluster,0.4,4,no-bypass,0.28181,0.90744,4.438804,16.025197,16.297114,0.88,0.855379,18124,7.076906,0
LegalBench-RAG,1200000,1200000,cluster,0.4,0,physical-delete-local-repair,0.464734,0.969723,3.787236,15.480736,16.3812,0.88,0.942012,17244,6.138344,0
LegalBench-RAG,1200000,1200000,cluster,0.4,1,physical-delete-local-repair,0.442631,0.97017,3.809872,16.057874,16.339246,0.88,0.936689,15918,6.013081,0
LegalBench-RAG,1200000,1200000,cluster,0.4,2,physical-delete-local-repair,0.437902,0.968496,3.785053,15.903744,15.748655,0.88,0.958115,15231,5.899729,0
LegalBench-RAG,1200000,1200000,cluster,0.4,3,physical-delete-local-repair,0.42533,0.968777,3.809649,16.06243,15.966725,0.88,0.935764,16911,5.995895,0
LegalBench-RAG,1200000,1200000,cluster,0.4,4,physical-delete-local-repair,0.47481,0.97042,3.787248,16.15716,16.332606,0.88,0.938818,16108,6.009235,0
LegalBench-RAG,1200000,1200000,cluster,0.5,0,base-before-revocation,0.0,1.0,3.116638,16.329111,16.181206,0.88,0.983027,13375,4.923763,0
LegalBench-RAG,1200000,1200000,cluster,0.5,1,base-before-revocation,0.0,0.99796,3.125267,15.893628,16.655187,0.88,0.993488,13113,4.990814,0
LegalBench-RAG,1200000,1200000,cluster,0.5,2,base-before-revocation,0.0,0.999264,3.124849,16.23376,15.502134,0.88,0.9933,14354,4.933337,0
LegalBench-RAG,1200000,1200000,cluster,0.5,3,base-before-revocation,0.0,0.988464,3.162573,15.891076,15.773792,0.88,0.991355,14065,5.260739,0
LegalBench-RAG,1200000,1200000,cluster,0.5,4,base-before-revocation,0.0,0.997321,3.263236,16.245082,15.963631,0.88,0.989523,13559,4.923355,0
LegalBench-RAG,1200000,1200000,cluster,0.5,0,oracle-rebuild-authorized,1.0,0.994089,3.258266,15.776922,16.293261,0.96,0.984714,14146,5.122697,0
LegalBench-RAG,1200000,1200000,cluster,0.5,1,oracle-rebuild-authorized,1.0,0.995232,3.146247,16.164022,16.839222,0.96,0.983458,13620,5.206114,0
LegalBench-RAG,1200000,1200000,cluster,0.5,2,oracle-rebuild-authorized,1.0,0.993866,3.114857,15.194524,16.035919,0.96,0.984722,14267,5.322705,0
LegalBench-RAG,1200000,1200000,cluster,0.5,3,oracle-rebuild-authorized,1.0,0.995283,3.184351,16.542607,15.350548,0.96,0.980702,14291,5.039227,0
LegalBench-RAG,1200000,1200000,cluster,0.5,4,oracle-rebuild-authorized,1.0,0.992985,3.181924,16.270653,15.977135,0.96,0.981393,13847,5.298359,0
LegalBench-RAG,1200000,1200000,cluster,0.5,0,lethe-pruned-bypass,0.49596,0.985775,3.412172,16.136861,16.625863,0.96,0.96435,14770,5.48048,0
LegalBench-RAG,1200000,1200000,cluster,0.5,1,lethe-pruned-bypass,0.512301,0.986773,3.425382,15.621066,15.88736,0.96,0.956826,15460,5.619844,0
LegalBench-RAG,1200000,1200000,cluster,0.5,2,lethe-pruned-bypass,0.537015,0.988134,3.53642,16.036817,15.549859,0.96,0.959446,15234,5.596997,0
LegalBench-RAG,1200000,1200000,cluster,0.5,3,lethe-pruned-bypass,0.501739,0.997032,3.472112,16.398618,15.666041,0.96,0.96595,14924,5.552422,0
LegalBench-RAG,1200000,1200000,cluster,0.5,4,lethe-pruned-bypass,0.513086,0.991388,3.481802,15.8733,16.2032,0.96,0.973115,16041,5.514333,0
LegalBench-RAG,1200000,1200000,cluster,0.5,0,lethe-full-bypass,0.647412,0.989668,3.370793,15.439074,15.699937,0.96,0.987574,14827,5.31416,0
LegalBench-RAG,1200000,1200000,cluster,0.5,1,lethe-full-bypass,0.606591,0.992694,3.348509,16.62249,15.029588,0.96,0.968494,15045,5.303409,0
LegalBench-RAG,1200000,1200000,cluster,0.5,2,lethe-full-bypass,0.665023,0.993892,3.310328,15.823855,16.194939,0.96,0.979842,14124,5.326528,0
LegalBench-RAG,1200000,1200000,cluster,0.5,3,lethe-full-bypass,0.582671,0.996589,3.284069,15.783545,15.849051,0.96,0.977247,13831,5.374954,0
LegalBench-RAG,1200000,1200000,cluster,0.5,4,lethe-full-bypass,0.613893,0.993218,3.314057,16.656453,16.350031,0.96,0.973866,14037,5.265878,0
LegalBench-RAG,1200000,1200000,cluster,0.5,0,no-bypass,0.332422,0.895347,4.572781,15.686595,15.513403,0.88,0.839118,18342,7.171738,0
LegalBench-RAG,1200000,1200000,cluster,0.5,1,no-bypass,0.364318,0.897963,4.523077,16.552369,16.664797,0.88,0.842309,17021,7.011264,0
LegalBench-RAG,1200000,1200000,cluster,0.5,2,no-bypass,0.373186,0.891855,4.526556,16.435901,16.551329,0.88,0.834799,18581,7.146546,0
LegalBench-RAG,1200000,1200000,cluster,0.5,3,no-bypass,0.32458,0.893763,4.46429,15.689086,16.382645,0.88,0.836949,17200,7.138803,0
LegalBench-RAG,1200000,1200000,cluster,0.5,4,no-bypass,0.404447,0.890987,4.577497,15.39443,16.155221,0.88,0.837518,18077,7.180994,0
LegalBench-RAG,1200000,1200000,cluster,0.5,0,physical-delete-local-repair,0.443634,0.971618,3.806228,15.057867,15.853984,0.88,0.941409,16364,5.840454,0
LegalBench-RAG,1200000,1200000,cluster,0.5,1,physical-delete-local-repair,0.48573,0.969725,3.851921,16.240955,14.811287,0.88,0.940857,17180,5.859353,0
LegalBench-RAG,1200000,1200000,cluster,0.5,2,physical-delete-local-repair,0.464495,0.966482,3.777024,16.304499,15.947616,0.88,0.935043,16426,6.076015,0
LegalBench-RAG,1200000,1200000,cluster,0.5,3,physical-delete-local-repair,0.478421,0.96265,3.786031,16.716079,15.889608,0.88,0.936293,16539,6.071398,0
LegalBench-RAG,1200000,1200000,cluster,0.5,4,physical-delete-local-repair,0.459521,0.967145,3.74938,15.367171,15.976187,0.88,0.940431,16115,5.958706,0
LegalBench-RAG,1200000,1200000,bridge,0.1,0,base-before-revocation,0.0,0.994949,3.116748,16.268546,15.857919,0.88,0.984278,13592,5.014008,0
LegalBench-RAG,1200000,1200000,bridge,0.1,1,base-before-revocation,0.0,0.997777,3.191385,15.654581,16.024874,0.88,0.99322,14115,4.859478,0
LegalBench-RAG,1200000,1200000,bridge,0.1,2,base-before-revocation,0.0,0.997606,3.127768,15.450354,16.300634,0.88,0.991241,14004,5.077357,0
LegalBench-RAG,1200000,1200000,bridge,0.1,3,base-before-revocation,0.0,1.0,3.154451,16.141696,15.818816,0.88,0.985618,13809,4.880316,0
LegalBench-RAG,1200000,1200000,bridge,0.1,4,base-before-revocation,0.0,0.99525,3.048986,15.396305,16.7188,0.88,0.986078,13665,5.09966,0
LegalBench-RAG,1200000,1200000,bridge,0.1,0,oracle-rebuild-authorized,1.0,0.994818,3.216176,15.912265,15.814776,0.96,0.977871,13881,5.027521,0
LegalBench-RAG,1200000,1200000,bridge,0.1,1,oracle-rebuild-authorized,1.0,0.993236,3.253875,15.973174,15.514799,0.96,0.986834,14746,5.207332,0
LegalBench-RAG,1200000,1200000,bridge,0.1,2,oracle-rebuild-authorized,1.0,1.0,3.286932,16.160835,16.466657,0.96,0.987771,13967,5.163477,0
LegalBench-RAG,1200000,1200000,bridge,0.1,3,oracle-rebuild-authorized,1.0,0.996206,3.154663,15.35237,15.144589,0.96,0.970276,13917,5.256535,0
LegalBench-RAG,1200000,1200000,bridge,0.1,4,oracle-rebuild-authorized,1.0,0.996767,3.141811,16.262466,15.462745,0.96,0.980637,14250,5.335046,0
LegalBench-RAG,1200000,1200000,bridge,0.1,0,lethe-pruned-bypass,0.534149,0.986365,3.379262,15.960569,15.574448,0.96,0.972876,14809,5.493085,0
LegalBench-RAG,1200000,1200000,bridge,0.1,1,lethe-pruned-bypass,0.527433,0.989948,3.350199,16.212407,16.297832,0.96,0.965789,14533,5.53246,0
LegalBench-RAG,1200000,1200000,bridge,0.1,2,lethe-pruned-bypass,0.514065,0.989416,3.444136,15.96283,15.693573,0.96,0.97283,14872,5.465139,0
LegalBench-RAG,1200000,1200000,bridge,0.1,3,lethe-pruned-bypass,0.53798,0.987214,3.35834,16.433396,16.375466,0.96,0.969261,15680,5.60776,0
LegalBench-RAG,1200000,1200000,bridge,0.1,4,lethe-pruned-bypass,0.451228,0.988278,3.331677,15.826171,16.112118,0.96,0.962552,14742,5.374183,0
LegalBench-RAG,1200000,1200000,bridge,0.1,0,lethe-full-bypass,0.629505,0.991716,3.290536,16.479858,16.429054,0.96,0.9795,14614,5.321291,0
LegalBench-RAG,1200000,1200000,bridge,0.1,1,lethe-full-bypass,0.609871,0.991858,3.270321,15.68057,16.062426,0.96,0.974393,14715,5.41336,0
LegalBench-RAG,1200000,1200000,bridge,0.1,2,lethe-full-bypass,0.619886,0.98805,3.295667,16.446136,15.966312,0.96,0.979556,14319,5.291519,0
LegalBench-RAG,1200000,1200000,bridge,0.1,3,lethe-full-bypass,0.624972,0.991661,3.374814,15.82357,15.990781,0.96,0.971629,14421,5.234501,0
LegalBench-RAG,1200000,1200000,bridge,0.1,4,lethe-full-bypass,0.604348,0.991274,3.340984,15.278819,15.864383,0.96,0.975013,14307,5.311869,0
LegalBench-RAG,1200000,1200000,bridge,0.1,0,no-bypass,0.384937,0.920403,4.261012,15.991499,15.698924,0.88,0.879894,17884,7.202644,0
LegalBench-RAG,1200000,1200000,bridge,0.1,1,no-bypass,0.345678,0.918945,4.212529,15.608355,16.714254,0.88,0.875724,16933,7.230304,0
LegalBench-RAG,1200000,1200000,bridge,0.1,2,no-bypass,0.361768,0.920587,4.276259,16.535303,15.905511,0.88,0.877934,19018,7.160428,0
LegalBench-RAG,1200000,1200000,bridge,0.1,3,no-bypass,0.337285,0.916685,4.196624,15.90511,16.966935,0.88,0.883871,18167,7.250771,0
LegalBench-RAG,1200000,1200000,bridge,0.1,4,no-bypass,0.322381,0.925478,4.134876,16.167625,15.395925,0.88,0.877505,17124,7.087557,0
LegalBench-RAG,1200000,1200000,bridge,0.1,0,physical-delete-local-repair,0.475881,0.969942,3.677195,16.740642,16.393062,0.88,0.93796,16250,5.938943,0
LegalBench-RAG,1200000,1200000,bridge,0.1,1,physical-delete-local-repair,0.430394,0.966672,3.706455,16.284459,15.371766,0.88,0.940159,16682,5.956217,0
LegalBench-RAG,1200000,1200000,bridge,0.1,2,physical-delete-local-repair,0.421565,0.967514,3.738385,14.705963,16.399782,0.88,0.942207,16268,6.089234,0
LegalBench-RAG,1200000,1200000,bridge,0.1,3,physical-delete-local-repair,0.504422,0.966056,3.771351,16.24898,16.251331,0.88,0.940493,16421,5.943184,0
LegalBench-RAG,1200000,1200000,bridge,0.1,4,physical-delete-local-repair,0.462934,0.971631,3.789572,15.614572,16.297262,0.88,0.929332,16841,5.952218,0
LegalBench-RAG,1200000,1200000,bridge,0.2,0,base-before-revocation,0.0,0.9971,3.168937,16.598902,16.424993,0.88,0.986274,13938,4.883984,0
LegalBench-RAG,1200000,1200000,bridge,0.2,1,base-before-revocation,0.0,0.998036,3.203421,15.917002,16.036575,0.88,0.981423,14119,4.90587,0
LegalBench-RAG,1200000,1200000,bridge,0.2,2,base-before-revocation,0.0,0.994721,3.18143,16.142011,15.806972,0.88,0.99372,14046,4.931179,0
LegalBench-RAG,1200000,1200000,bridge,0.2,3,base-before-revocation,0.0,0.999966,3.161124,15.432595,15.899289,0.88,0.971738,13295,5.123593,0
LegalBench-RAG,1200000,1200000,bridge,0.2,4,base-before-revocation,0.0,0.995575,3.067148,16.709997,16.495955,0.88,0.990631,14237,4.881441,0
LegalBench-RAG,1200000,1200000,bridge,0.2,0,oracle-rebuild-authorized,1.0,0.998148,3.224667,16.022025,15.879599,0.96,0.987415,14041,5.180779,0
LegalBench-RAG,1200000,1200000,bridge,0.2,1,oracle-rebuild-authorized,1.0,1.0,3.182208,15.752113,15.689138,0.96,0.97909,13248,5.184722,0
LegalBench-RAG,1200000,1200000,bridge,0.2,2,oracle-rebuild-authorized,1.0,0.995346,3.216912,15.886968,16.918171,0.96,0.978113,13780,5.104971,0
LegalBench-RAG,1200000,1200000,bridge,0.2,3,oracle-rebuild-authorized,1.0,0.995902,3.301936,15.095362,16.072311,0.96,0.984013,14215,5.049084,0
LegalBench-RAG,1200000,1200000,bridge,0.2,4,oracle-rebuild-authorized,1.0,0.996622,3.19684,15.843621,15.902834,0.96,0.983382,14239,5.142595,0
LegalBench-RAG,1200000,1200000,bridge,0.2,0,lethe-pruned-bypass,0.45345,0.990592,3.371013,16.269366,15.361904,0.96,0.964291,15216,5.602833,0
LegalBench-RAG,1200000,1200000,bridge,0.2,1,lethe-pruned-bypass,0.501136,0.989647,3.350853,16.332103,16.263458,0.96,0.964783,15512,5.542715,0
LegalBench-RAG,1200000,1200000,bridge,0.2,2,lethe-pruned-bypass,0.497665,0.993343,3.389715,16.417046,15.277284,0.96,0.968498,15079,5.438066,0
LegalBench-RAG,1200000,1200000,bridge,0.2,3,lethe-pruned-bypass,0.554604,0.992339,3.461017,16.365281,16.051285,0.96,0.957041,15334,5.621639,0
LegalBench-RAG,1200000,1200000,bridge,0.2,4,lethe-pruned-bypass,0.564325,0.989616,3.37545,16.297466,16.111855,0.96,0.958543,15069,5.535415,0
LegalBench-RAG,1200000,1200000,bridge,0.2,0,lethe-full-bypass,0.63092,0.994537,3.329851,16.042786,15.061995,0.96,0.977717,14653,5.413196,0
LegalBench-RAG,1200000,1200000,bridge,0.2,1,lethe-full-bypass,0.593154,0.992495,3.302986,15.876261,17.168282,0.96,0.971771,15156,5.03526,0
LegalBench-RAG,1200000,1200000,bridge,0.2,2,lethe-full-bypass,0.610654,0.988891,3.272085,16.288861,16.571042,0.96,0.975765,13126,5.28552,0
LegalBench-RAG,1200000,1200000,bridge,0.2,3,lethe-full-bypass,0.586773,0.993858,3.262384,17.163049,15.788055,0.96,0.968877,14183,5.246188,0
LegalBench-RAG,1200000,1200000,bridge,0.2,4,lethe-full-bypass,0.655269,0.988945,3.184634,15.842343,15.838482,0.96,0.973778,13405,5.334683,0
LegalBench-RAG,1200000,1200000,bridge,0.2,0,no-bypass,0.341281,0.909273,4.310333,16.511584,16.204331,0.88,0.868502,17587,7.104861,0
LegalBench-RAG,1200000,1200000,bridge,0.2,1,no-bypass,0.391045,0.913485,4.336716,15.893625,16.737226,0.88,0.867552,18142,7.156417,0
LegalBench-RAG,1200000,1200000,bridge,0.2,2,no-bypass,0.369622,0.908454,4.418044,16.077251,15.438838,0.88,0.864118,16913,7.04001,0
LegalBench-RAG,1200000,1200000,bridge,0.2,3,no-bypass,0.339057,0.908443,4.345757,16.532987,15.779562,0.88,0.866627,17098,7.140794,0
LegalBench-RAG,1200000,1200000,bridge,0.2,4,no-bypass,0.330471,0.910989,4.259252,15.758399,16.395996,0.88,0.85707,17779,7.129949,0
LegalBench-RAG,1200000,1200000,bridge,0.2,0,physical-delete-local-repair,0.461022,0.966971,3.780255,15.75666,15.64356,0.88,0.944234,16401,5.947772,0
LegalBench-RAG,1200000,1200000,bridge,0.2,1,physical-delete-local-repair,0.519249,0.974969,3.726934,15.680103,15.561078,0.88,0.938612,16378,5.84703,0
LegalBench-RAG,1200000,1200000,bridge,0.2,2,physical-delete-local-repair,0.441824,0.968412,3.760556,16.043794,15.578698,0.88,0.940526,16730,5.907417,0
LegalBench-RAG,1200000,1200000,bridge,0.2,3,physical-delete-local-repair,0.416114,0.970832,3.796527,16.163843,15.300018,0.88,0.937804,15982,6.104271,0
LegalBench-RAG,1200000,1200000,bridge,0.2,4,physical-delete-local-repair,0.416914,0.972099,3.770422,15.76585,16.59771,0.88,0.941917,15443,6.071311,0
LegalBench-RAG,1200000,1200000,bridge,0.3,0,base-before-revocation,0.0,0.995256,3.247435,16.459393,16.618553,0.88,0.991226,13680,4.978246,0
LegalBench-RAG,1200000,1200000,bridge,0.3,1,base-before-revocation,0.0,1.0,3.07945,15.95547,15.588452,0.88,0.984573,13953,5.019,0
LegalBench-RAG,1200000,1200000,bridge,0.3,2,base-before-revocation,0.0,0.994223,3.118113,16.037221,16.007375,0.88,0.991674,13288,5.201969,0
LegalBench-RAG,1200000,1200000,bridge,0.3,3,base-before-revocation,0.0,0.999352,3.17606,15.837898,15.723409,0.88,0.978182,13384,4.961881,0
LegalBench-RAG,1200000,1200000,bridge,0.3,4,base-before-revocation,0.0,0.997995,3.105185,16.187805,16.114688,0.88,0.985633,13709,4.968173,0
LegalBench-RAG,1200000,1200000,bridge,0.3,0,oracle-rebuild-authorized,1.0,0.999893,3.180091,16.525251,16.674935,0.96,0.977364,13817,5.344052,0
LegalBench-RAG,1200000,1200000,bridge,0.3,1,oracle-rebuild-authorized,1.0,0.993359,3.335937,16.825138,16.618712,0.96,0.967937,13529,5.137139,0
LegalBench-RAG,1200000,1200000,bridge,0.3,2,oracle-rebuild-authorized,1.0,0.994631,3.204626,16.752453,16.172362,0.96,0.982226,14429,5.394804,0
LegalBench-RAG,1200000,1200000,bridge,0.3,3,oracle-rebuild-authorized,1.0,0.999034,3.227976,16.409517,16.788278,0.96,0.975063,14305,5.334342,0
LegalBench-RAG,1200000,1200000,bridge,0.3,4,oracle-rebuild-authorized,1.0,0.992629,3.189843,16.584291,15.491317,0.96,0.986185,13278,5.147113,0
