dataset,N,N_indexed,variant,pattern,frac,seed,score_frontier_expand_result_leakage,drift10_vs_oracle_rebuild,recall10_vs_exact_topk,recall10_vs_oracle,latency_mean_ms,latency_p95_ms,latency_p99_ms,overlay_edges,overlay_memory_bytes,revocation_time_ms,distance_computations,expanded_nodes
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.4,8,0.0,0.0,0.980233,0.9982,7.401826,13.990154,19.311365,0,0,0.078966,64284,14313
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.4,9,0.0,0.0,0.982142,1.0,7.479389,13.574237,18.375485,0,0,0.070771,64096,14888
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,cluster,0.5,0,0.0,0.116307,0.906183,0.922793,7.023658,13.003761,17.13101,0,0,0.08715,62069,14443
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,cluster,0.5,1,0.0,0.103094,0.912151,0.928871,7.316906,13.983394,18.519926,0,0,0.086535,65785,14754
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,cluster,0.5,2,0.0,0.112033,0.907285,0.923916,6.911043,13.010833,17.826209,0,0,0.067435,64326,14940
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,cluster,0.5,3,0.0,0.109184,0.911021,0.92772,7.065593,13.849958,18.330083,0,0,0.068999,62836,14672
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,cluster,0.5,4,0.0,0.107761,0.910483,0.927172,7.237995,14.029369,18.505041,0,0,0.081106,66086,14368
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,cluster,0.5,5,0.0,0.108496,0.914241,0.930999,7.2024,14.620813,18.902393,0,0,0.08793,64471,14191
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,cluster,0.5,6,0.0,0.109372,0.917676,0.934497,7.396449,13.033071,18.201601,0,0,0.071893,61199,14296
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,cluster,0.5,7,0.0,0.114702,0.904182,0.920755,7.208529,13.1235,17.877097,0,0,0.061034,63608,15547
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,cluster,0.5,8,0.0,0.113755,0.908752,0.925409,7.445374,13.651537,18.530625,0,0,0.081807,59962,14078
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,cluster,0.5,9,0.0,0.107878,0.909154,0.925818,7.379377,12.71094,17.524997,0,0,0.09546,65280,14314
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,cluster,0.5,0,0.0,0.016023,0.979555,0.99751,8.271742,14.626282,22.075989,108000,1,0.299233,74476,16758
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,cluster,0.5,1,0.0,0.012288,0.974168,0.992024,8.424858,15.179529,21.248857,108000,1,0.284356,72701,16977
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,cluster,0.5,2,0.0,0.014452,0.974945,0.992815,8.450159,15.817405,22.402815,108000,1,0.307264,71432,17063
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,cluster,0.5,3,0.0,0.020507,0.980536,0.998509,8.391506,14.868723,21.697039,108000,1,0.291498,74260,16488
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,cluster,0.5,4,0.0,0.017669,0.974778,0.992646,8.184498,15.263787,22.717316,108000,1,0.291558,74711,16891
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,cluster,0.5,5,0.0,0.015359,0.973693,0.991541,8.772874,15.73911,20.843496,108000,1,0.310768,70579,16377
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,cluster,0.5,6,0.0,0.018264,0.975716,0.993601,8.529318,16.078125,22.442472,108000,1,0.292248,76518,17372
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,cluster,0.5,7,0.0,0.01707,0.978929,0.996873,8.255079,15.055723,21.694877,108000,1,0.298799,77054,17154
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,cluster,0.5,8,0.0,0.015286,0.977883,0.995807,8.464879,15.706066,22.002992,108000,1,0.304081,74307,16683
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,cluster,0.5,9,0.0,0.014536,0.977709,0.99563,8.678044,15.893538,21.986533,108000,1,0.302324,77288,16765
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,cluster,0.5,0,0.0,0.005888,0.980325,0.998295,9.169856,17.298716,25.157338,312000,1,0.696629,81134,19003
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,cluster,0.5,1,0.0,0.00683,0.977806,0.995729,9.238767,17.630197,23.748077,312000,1,0.713163,86293,20043
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,cluster,0.5,2,0.0,0.004257,0.978007,0.995934,9.506573,17.495458,23.652921,312000,1,0.70294,80871,19047
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,cluster,0.5,3,0.0,0.007145,0.979183,0.997131,9.270148,18.38297,24.916857,312000,1,0.702225,83902,19325
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,cluster,0.5,4,0.0,0.004656,0.979267,0.997217,9.714285,16.932253,23.65752,312000,1,0.685858,86975,18411
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,cluster,0.5,5,0.0,0.004341,0.977654,0.995575,9.412249,18.594327,23.371651,312000,1,0.705067,83659,19699
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,cluster,0.5,6,0.0,0.004112,0.978146,0.996075,9.185547,18.406597,24.148264,312000,1,0.695185,85670,19863
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,cluster,0.5,7,0.0,0.00702,0.97904,0.996986,9.771939,17.271904,25.243985,312000,1,0.718261,82639,19612
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,cluster,0.5,8,0.0,0.007307,0.975647,0.993531,10.071456,18.241403,24.836976,312000,1,0.69585,85087,19653
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,cluster,0.5,9,0.0,0.00605,0.978232,0.996162,9.387687,18.49737,25.103306,312000,1,0.707274,83423,19133
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,cluster,0.5,0,0.0,0.013812,0.973046,0.990882,8.419297,16.010416,22.850969,150000,1,0.39784,77831,17958
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,cluster,0.5,1,0.0,0.019606,0.969717,0.987491,8.776847,15.924102,19.954236,150000,1,0.395075,76497,18555
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,cluster,0.5,2,0.0,0.022462,0.975474,0.993354,8.716477,15.713051,22.438194,150000,1,0.380122,77916,17557
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,cluster,0.5,3,0.0,0.018787,0.976199,0.994092,8.680449,16.033629,22.683619,150000,1,0.368676,73912,18351
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,cluster,0.5,4,0.0,0.015697,0.973279,0.991119,8.612408,16.265297,21.688917,150000,1,0.390238,83381,17201
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,cluster,0.5,5,0.0,0.017311,0.975611,0.993494,8.995797,15.555474,22.927834,150000,1,0.372382,80050,17119
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,cluster,0.5,6,0.0,0.016596,0.975879,0.993767,8.693475,16.004552,21.324347,150000,1,0.379026,73226,17434
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,cluster,0.5,7,0.0,0.017723,0.974224,0.992081,8.699429,15.617793,20.923208,150000,1,0.371873,76738,18549
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,cluster,0.5,8,0.0,0.017081,0.973601,0.991447,9.000416,16.236195,22.204876,150000,1,0.391646,75579,17722
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,cluster,0.5,9,0.0,0.019605,0.973716,0.991564,8.579945,15.744241,21.46505,150000,1,0.396176,75287,17474
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,cluster,0.5,0,0.0,0.004301,0.978071,0.995999,9.106055,17.142471,21.63537,245999,1,0.570621,78623,18880
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,cluster,0.5,1,0.0,0.005191,0.979064,0.99701,9.027179,16.951211,22.872239,245999,1,0.574036,80569,19155
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,cluster,0.5,2,0.0,0.006214,0.978146,0.996075,9.423479,16.15371,22.256869,245999,1,0.562775,80249,17612
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,cluster,0.5,3,0.0,0.004619,0.979522,0.997476,9.287985,16.838409,24.344976,245999,1,0.576887,80414,19781
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,cluster,0.5,4,0.0,0.004688,0.979329,0.99728,9.450457,17.855685,22.059719,245999,1,0.561454,85525,18691
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,cluster,0.5,5,0.0,0.008278,0.97921,0.997159,9.135596,17.215069,23.165402,245999,1,0.569487,83336,17769
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,cluster,0.5,6,0.0,0.004973,0.978215,0.996146,9.163355,17.611886,23.269015,245999,1,0.587968,80874,18871
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,cluster,0.5,7,0.0,0.004191,0.977099,0.995009,9.402305,17.19573,22.73675,245999,1,0.594632,78208,18282
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,cluster,0.5,8,0.0,0.0057,0.977223,0.995135,9.415724,17.661226,22.348352,245999,1,0.58586,83051,19152
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,cluster,0.5,9,0.0,0.002937,0.977878,0.995803,9.071564,16.350843,24.02675,245999,1,0.567098,81393,18689
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,cluster,0.5,0,0.0,0.003837,0.979816,0.997776,10.391267,18.775487,26.364939,360000,1,0.803719,86914,20014
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,cluster,0.5,1,0.0,0.002229,0.980466,0.998438,9.952738,18.395351,25.580749,360000,1,0.802835,86869,19207
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,cluster,0.5,2,0.0,0.003678,0.981843,0.99984,10.229634,19.194866,25.516483,360000,1,0.785148,89148,20160
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,cluster,0.5,3,0.0,0.003916,0.982156,1.0,9.547492,18.332495,25.338701,360000,1,0.808004,87014,20527
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,cluster,0.5,4,0.0,0.001278,0.981925,0.999924,10.065078,18.335164,24.29982,360000,1,0.795834,85884,20885
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,cluster,0.5,5,0.0,0.002148,0.979044,0.99699,9.775531,17.965303,24.548252,360000,1,0.804911,90050,19637
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,cluster,0.5,6,0.0,0.002344,0.98348,1.0,10.044846,17.544936,24.680789,360000,1,0.797014,84535,20199
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,cluster,0.5,7,0.0,0.002667,0.978869,0.996812,9.714851,18.433236,24.261705,360000,1,0.786786,88915,20241
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,cluster,0.5,8,0.0,0.003626,0.979599,0.997555,10.131002,19.081873,26.930652,360000,1,0.789982,91316,19900
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,cluster,0.5,9,0.0,0.003121,0.980538,0.998512,10.301493,18.673411,24.281398,360000,1,0.802927,85850,20295
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.5,0,0.0,0.0,0.984083,1.0,7.548796,13.976615,18.005939,0,0,0.098224,64959,14638
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.5,1,0.0,0.0,0.98313,1.0,7.334097,13.751086,17.286008,0,0,0.078907,67965,14706
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.5,2,0.0,0.0,0.982056,1.0,7.326162,13.292511,19.494883,0,0,0.063639,62877,14641
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.5,3,0.0,0.0,0.984091,1.0,7.464976,13.501675,18.463417,0,0,0.071884,65752,15373
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.5,4,0.0,0.0,0.980109,0.998074,7.481658,13.381147,17.979263,0,0,0.087974,65615,15127
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.5,5,0.0,0.0,0.983466,1.0,7.202017,13.886401,18.082869,0,0,0.082611,64992,15409
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.5,6,0.0,0.0,0.982474,1.0,7.279794,14.039651,19.913134,0,0,0.091882,64500,13826
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.5,7,0.0,0.0,0.98309,1.0,7.397867,14.26572,17.361943,0,0,0.086492,64818,15164
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.5,8,0.0,0.0,0.981352,0.99934,7.307563,13.064373,17.68999,0,0,0.083561,65601,14923
LegalBench-RAG,1200000,1200000,Oracle-rebuild,cluster,0.5,9,0.0,0.0,0.980116,0.998082,7.298861,13.960946,18.339747,0,0,0.076261,66345,15040
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.1,0,0.0,0.061725,0.922719,0.939632,7.409442,13.973916,18.944881,0,0,0.079471,60287,14201
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.1,1,0.0,0.054021,0.925451,0.942415,7.171129,13.054655,18.280608,0,0,0.086092,62874,14503
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.1,2,0.0,0.067436,0.922632,0.939544,7.363037,13.209797,19.337948,0,0,0.079981,64960,14085
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.1,3,0.0,0.068189,0.924579,0.941526,7.376645,13.853477,19.865911,0,0,0.057007,65702,14890
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.1,4,0.0,0.073778,0.924428,0.941373,7.137119,13.522953,19.949484,0,0,0.074742,61128,15581
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.1,5,0.0,0.051534,0.932811,0.94991,7.310133,13.798716,17.799668,0,0,0.064457,62157,15376
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.1,6,0.0,0.068274,0.927104,0.944098,7.228416,14.191847,18.474156,0,0,0.087629,62349,14601
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.1,7,0.0,0.056375,0.923885,0.94082,7.38512,12.811109,18.351438,0,0,0.080355,61398,15019
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.1,8,0.0,0.061092,0.92564,0.942607,7.331063,13.380756,18.323047,0,0,0.101581,61615,14211
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.1,9,0.0,0.054966,0.925852,0.942822,7.428447,13.606851,18.592347,0,0,0.076067,60366,13839
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.1,0,0.0,0.005406,0.978412,0.996347,8.435799,15.29458,21.506278,29808,1,0.145308,74487,17184
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.1,1,0.0,0.006215,0.976888,0.994794,8.681813,15.522381,20.441105,29808,1,0.142164,74112,17164
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.1,2,0.0,0.006983,0.976014,0.993904,8.392916,15.818721,22.76257,29808,1,0.1523,75352,16154
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.1,3,0.0,0.006996,0.976555,0.994455,8.608067,16.037564,21.492891,29808,1,0.144533,72637,17307
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.1,4,0.0,0.006045,0.974934,0.992805,8.486475,15.128945,21.577818,29808,1,0.155928,70215,17827
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.1,5,0.0,0.007555,0.978158,0.996087,8.576045,14.896755,22.790833,29808,1,0.131633,73985,16854
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.1,6,0.0,0.006645,0.976274,0.994169,8.13396,15.436495,22.589202,29808,1,0.123455,70822,17514
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.1,7,0.0,0.008884,0.97765,0.99557,8.562263,15.299725,20.013919,29808,1,0.123082,72474,16605
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.1,8,0.0,0.009465,0.975099,0.992972,8.539515,15.903158,21.840748,29808,1,0.1601,71694,18455
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.1,9,0.0,0.004458,0.971442,0.989248,8.301037,15.587237,20.781098,29808,1,0.151595,77130,17496
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,bridge,0.1,0,0.0,0.003583,0.980371,0.998341,9.664208,17.661826,26.511037,86112,1,0.244247,81933,19071
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,bridge,0.1,1,0.0,0.000623,0.979816,0.997776,9.356255,17.356521,25.715516,86112,1,0.241765,83996,19172
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,bridge,0.1,2,0.0,0.001911,0.979641,0.997598,9.760527,17.389392,25.457334,86112,1,0.239666,82766,19066
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,bridge,0.1,3,0.0,0.001768,0.979652,0.997609,9.024522,17.385712,23.995082,86112,1,0.23437,80801,20430
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,bridge,0.1,4,0.0,0.004219,0.980328,0.998297,9.2798,17.831806,23.767124,86112,1,0.264962,84455,19482
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,bridge,0.1,5,0.0,0.000872,0.977818,0.995741,9.346748,17.628576,25.428099,86112,1,0.266905,83571,18414
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,bridge,0.1,6,0.0,0.003271,0.979931,0.997894,9.299665,17.136406,23.676183,86112,1,0.246689,80677,19361
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,bridge,0.1,7,0.0,0.002471,0.977319,0.995233,9.312951,18.031202,24.292749,86112,1,0.262836,84435,18998
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,bridge,0.1,8,0.0,0.0,0.976005,0.993895,9.628282,16.774386,24.655091,86112,1,0.259601,84578,18225
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,bridge,0.1,9,0.0,0.003233,0.980951,0.998932,9.593036,17.288553,25.45306,86112,1,0.247973,82723,19028
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,bridge,0.1,0,0.0,0.013828,0.971112,0.988913,8.756752,16.117843,22.029102,41400,1,0.161984,75011,17714
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,bridge,0.1,1,0.0,0.009307,0.972886,0.990719,8.577259,15.725574,22.456585,41400,1,0.16381,75032,16748
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,bridge,0.1,2,0.0,0.008249,0.976063,0.993954,8.928767,15.722981,22.249195,41400,1,0.161573,72929,16478
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,bridge,0.1,3,0.0,0.01058,0.973573,0.991418,8.656105,16.196085,21.51794,41400,1,0.158413,76400,17878
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,bridge,0.1,4,0.0,0.011757,0.975066,0.992939,8.780827,16.082381,22.068194,41400,1,0.160902,78341,17654
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,bridge,0.1,5,0.0,0.009197,0.973402,0.991245,8.781471,16.05378,22.74249,41400,1,0.150146,76732,18267
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,bridge,0.1,6,0.0,0.009762,0.975585,0.993468,8.617845,16.12326,20.908193,41400,1,0.153862,77234,17578
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,bridge,0.1,7,0.0,0.012404,0.972569,0.990396,8.8077,16.378999,23.490201,41400,1,0.160001,76694,18461
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,bridge,0.1,8,0.0,0.009532,0.975596,0.993479,8.789029,15.860528,20.050996,41400,1,0.174851,75265,16858
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,bridge,0.1,9,0.0,0.013249,0.97256,0.990387,8.615157,15.884469,23.57375,41400,1,0.161329,80662,17702
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,bridge,0.1,0,0.0,0.00299,0.979026,0.996971,9.349316,16.550722,21.990956,67896,1,0.217185,78884,19547
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,bridge,0.1,1,0.0,0.002765,0.979174,0.997122,9.49174,17.088853,24.651738,67896,1,0.209176,77447,18707
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,bridge,0.1,2,0.0,0.004109,0.980044,0.998008,9.315354,17.254691,22.787223,67896,1,0.214655,81837,18873
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,bridge,0.1,3,0.0,0.004914,0.979926,0.997888,9.039196,16.600106,23.871986,67896,1,0.214175,83034,19894
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,bridge,0.1,4,0.0,0.002329,0.98006,0.998025,9.096862,16.943044,22.843263,67896,1,0.23215,77040,19287
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,bridge,0.1,5,0.0,0.002793,0.978685,0.996624,9.110212,17.417527,22.851978,67896,1,0.214558,84997,17839
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,bridge,0.1,6,0.0,0.002536,0.976534,0.994434,9.520709,17.930829,24.579114,67896,1,0.217932,79313,18498
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,bridge,0.1,7,0.0,0.002434,0.976997,0.994906,9.318803,16.549368,24.399111,67896,1,0.21252,80756,19226
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,bridge,0.1,8,0.0,0.002102,0.977326,0.995241,9.090683,17.517386,23.280879,67896,1,0.213875,83233,18373
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,bridge,0.1,9,0.0,0.00141,0.982108,1.0,9.295978,16.544418,23.943283,67896,1,0.211973,81583,17676
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,bridge,0.1,0,0.0,0.001036,0.979496,0.99745,10.019298,17.463495,25.422709,99360,1,0.279743,84109,20378
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,bridge,0.1,1,0.0,0.0,0.980724,0.998701,10.035249,17.593759,24.904444,99360,1,0.279677,87243,20648
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,bridge,0.1,2,0.0,0.000613,0.980983,0.998965,9.783754,18.429219,24.407172,99360,1,0.268221,84664,21220
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,bridge,0.1,3,0.0,0.000252,0.980074,0.998039,10.140144,18.360195,25.836147,99360,1,0.285265,85861,20718
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,bridge,0.1,4,0.0,0.001317,0.979597,0.997553,10.215722,18.467866,24.893184,99360,1,0.268038,86864,19824
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,bridge,0.1,5,0.0,0.00133,0.979978,0.997941,10.054909,19.617625,24.625704,99360,1,0.272062,88907,19759
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,bridge,0.1,6,0.0,0.002106,0.978742,0.996682,9.904492,19.099557,25.277779,99360,1,0.277782,87678,20373
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,bridge,0.1,7,0.0,0.001375,0.980929,0.99891,10.041743,18.316261,25.605333,99360,1,0.284175,85457,20458
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,bridge,0.1,8,0.0,0.001955,0.980139,0.998105,10.076272,19.214053,25.298957,99360,1,0.28043,90473,19921
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,bridge,0.1,9,0.0,0.000143,0.978822,0.996763,9.739945,18.100563,25.165021,99360,1,0.28201,86287,19577
LegalBench-RAG,1200000,1200000,Oracle-rebuild,bridge,0.1,0,0.0,0.0,0.982494,1.0,7.36819,14.233537,19.038047,0,0,0.082859,63359,14650
LegalBench-RAG,1200000,1200000,Oracle-rebuild,bridge,0.1,1,0.0,0.0,0.982856,1.0,7.307926,14.153995,17.788032,0,0,0.080258,67668,15287
LegalBench-RAG,1200000,1200000,Oracle-rebuild,bridge,0.1,2,0.0,0.0,0.98112,0.999104,7.195075,13.758343,18.420043,0,0,0.083223,62247,15102
LegalBench-RAG,1200000,1200000,Oracle-rebuild,bridge,0.1,3,0.0,0.0,0.982201,1.0,7.401543,13.579289,18.461657,0,0,0.092492,65915,14646
LegalBench-RAG,1200000,1200000,Oracle-rebuild,bridge,0.1,4,0.0,0.0,0.985246,1.0,7.569939,13.044142,20.445183,0,0,0.089899,64810,15060
LegalBench-RAG,1200000,1200000,Oracle-rebuild,bridge,0.1,5,0.0,0.0,0.984434,1.0,7.429712,13.967493,19.662683,0,0,0.080011,67456,15536
LegalBench-RAG,1200000,1200000,Oracle-rebuild,bridge,0.1,6,0.0,0.0,0.983072,1.0,7.484901,13.721804,19.063119,0,0,0.077157,63156,15186
LegalBench-RAG,1200000,1200000,Oracle-rebuild,bridge,0.1,7,0.0,0.0,0.980867,0.998846,7.122641,14.163351,18.722285,0,0,0.072386,66028,15098
LegalBench-RAG,1200000,1200000,Oracle-rebuild,bridge,0.1,8,0.0,0.0,0.980577,0.998551,7.423668,14.190197,17.57866,0,0,0.076098,70223,14672
LegalBench-RAG,1200000,1200000,Oracle-rebuild,bridge,0.1,9,0.0,0.0,0.983479,1.0,7.404272,13.895,19.085777,0,0,0.092729,64697,14594
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.2,0,0.0,0.079336,0.920004,0.936867,7.279011,13.287783,18.09243,0,0,0.067504,64547,15729
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.2,1,0.0,0.083066,0.926375,0.943355,7.390098,13.417051,17.94282,0,0,0.099355,65711,13789
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.2,2,0.0,0.076961,0.921032,0.937915,7.275935,13.310633,16.655208,0,0,0.077447,62495,14628
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.2,3,0.0,0.085034,0.921123,0.938007,7.308743,13.366474,18.401935,0,0,0.073204,63159,15116
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.2,4,0.0,0.082161,0.916946,0.933753,7.257957,13.603711,17.518776,0,0,0.074848,64055,13940
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.2,5,0.0,0.064284,0.920634,0.937509,7.273941,13.350227,17.941978,0,0,0.067288,59558,14946
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.2,6,0.0,0.08594,0.917394,0.93421,7.334729,13.311697,18.578163,0,0,0.076664,64370,14766
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.2,7,0.0,0.077175,0.919859,0.93672,7.190872,14.44282,18.284312,0,0,0.091326,66939,14772
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.2,8,0.0,0.081866,0.921238,0.938124,7.133919,13.334388,17.703729,0,0,0.079989,61151,14806
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.2,9,0.0,0.076051,0.9187,0.935539,7.360449,13.3043,18.389643,0,0,0.075358,62451,15274
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,bridge,0.2,0,0.0,0.010054,0.975451,0.993331,8.651696,15.772046,22.198227,59616,1,0.206323,72703,17109
