dataset,N,N_indexed,method,pattern,frac,seed,recall10_vs_exact_linear_scan,drift10_vs_oracle_rebuild,oracle_recall10_vs_exact,exact_reference_sample_queries
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.5,8,0.978919,0.004025,0.981528,2000
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.5,9,0.979082,0.007053,0.980099,2000
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.5,0,0.901329,0.229112,0.9818,2000
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.5,1,0.897583,0.229298,0.981012,2000
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.5,2,0.898813,0.238079,0.984577,2000
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.5,3,0.904753,0.225388,0.982656,2000
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.5,4,0.900598,0.204036,0.977306,2000
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.5,5,0.894097,0.20528,0.982221,2000
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.5,6,0.895737,0.22315,0.981409,2000
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.5,7,0.897863,0.211793,0.982396,2000
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.5,8,0.902153,0.211335,0.983515,2000
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.5,9,0.904985,0.233165,0.984847,2000
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.5,0,0.904471,0.231554,0.98077,2000
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.5,1,0.904091,0.231197,0.982213,2000
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.5,2,0.902228,0.229846,0.98066,2000
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.5,3,0.893431,0.232116,0.980881,2000
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.5,4,0.903516,0.20805,0.981604,2000
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.5,5,0.89837,0.222735,0.981373,2000
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.5,6,0.905329,0.234785,0.982394,2000
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.5,7,0.902228,0.23621,0.982119,2000
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.5,8,0.908615,0.226838,0.982245,2000
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.5,9,0.895611,0.223543,0.982653,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.5,0,0.908172,0.148957,0.981464,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.5,1,0.893228,0.125625,0.978451,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.5,2,0.910988,0.127097,0.981958,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.5,3,0.906324,0.126575,0.983761,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.5,4,0.904739,0.140539,0.980657,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.5,5,0.901371,0.134479,0.982861,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.5,6,0.899574,0.126712,0.984534,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.5,7,0.903301,0.136942,0.982786,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.5,8,0.896358,0.135297,0.981439,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.5,9,0.901997,0.145887,0.983854,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.1,0,0.976802,0.0,0.975021,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.1,1,0.977785,0.0,0.979662,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.1,2,0.979465,0.0,0.97995,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.1,3,0.97876,0.0,0.978361,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.1,4,0.980822,0.0,0.978506,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.1,5,0.980599,0.0,0.979771,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.1,6,0.97574,0.0,0.977246,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.1,7,0.9765,0.0,0.976651,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.1,8,0.978024,0.0,0.978593,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.1,9,0.977588,0.0,0.979747,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.1,0,0.969473,0.003707,0.976003,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.1,1,0.966456,0.003113,0.976381,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.1,2,0.972385,0.004568,0.977295,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.1,3,0.972452,0.007538,0.978483,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.1,4,0.973261,0.00657,0.975201,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.1,5,0.971773,0.00592,0.975887,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.1,6,0.972579,0.007024,0.978529,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.1,7,0.968773,0.003911,0.976609,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.1,8,0.972065,0.0074,0.975609,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.1,9,0.972666,0.008223,0.979134,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.1,0,0.977234,0.003284,0.977773,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.1,1,0.975914,0.001697,0.980537,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.1,2,0.973333,0.000755,0.979117,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.1,3,0.973976,0.002808,0.976478,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.1,4,0.973353,0.002803,0.980032,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.1,5,0.974906,0.0,0.979407,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.1,6,0.979552,0.001634,0.976815,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.1,7,0.977185,0.006269,0.979008,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.1,8,0.975604,0.00508,0.979196,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.1,9,0.974534,0.002557,0.977305,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.1,0,0.972355,0.000998,0.977018,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.1,1,0.9748,0.002984,0.980184,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.1,2,0.97411,0.004297,0.978942,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.1,3,0.975735,0.002492,0.976835,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.1,4,0.974812,0.0,0.97952,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.1,5,0.974895,0.001327,0.977978,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.1,6,0.978932,0.002486,0.976168,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.1,7,0.976872,0.002853,0.977824,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.1,8,0.974698,0.000699,0.977249,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.1,9,0.97672,0.002706,0.978051,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.1,0,0.923127,0.083971,0.978414,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.1,1,0.932833,0.079705,0.980426,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.1,2,0.93307,0.096035,0.981339,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.1,3,0.925785,0.095442,0.979816,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.1,4,0.938927,0.080691,0.976516,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.1,5,0.917338,0.076976,0.976739,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.1,6,0.931169,0.071006,0.976835,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.1,7,0.935364,0.072482,0.979554,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.1,8,0.934384,0.083519,0.976993,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.1,9,0.939016,0.088418,0.981334,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.1,0,0.93495,0.095034,0.975672,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.1,1,0.934138,0.084051,0.97581,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.1,2,0.934904,0.055788,0.976227,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.1,3,0.932313,0.088935,0.97718,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.1,4,0.949267,0.09807,0.979356,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.1,5,0.930902,0.080593,0.97688,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.1,6,0.942962,0.089291,0.977113,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.1,7,0.937871,0.093221,0.978555,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.1,8,0.934748,0.079004,0.977767,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.1,9,0.933558,0.065524,0.981198,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.1,0,0.927267,0.045683,0.978321,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.1,1,0.914308,0.047213,0.977278,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.1,2,0.920912,0.048403,0.978535,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.1,3,0.916133,0.05518,0.978658,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.1,4,0.918955,0.073516,0.979159,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.1,5,0.919107,0.045841,0.976816,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.1,6,0.918518,0.068694,0.978614,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.1,7,0.917006,0.05455,0.981093,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.1,8,0.923502,0.051503,0.975569,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.1,9,0.92355,0.051191,0.978154,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.2,0,0.975707,0.0,0.978681,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.2,1,0.980874,0.0,0.978403,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.2,2,0.974434,0.0,0.977501,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.2,3,0.977157,0.0,0.980736,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.2,4,0.98034,0.0,0.978447,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.2,5,0.973688,0.0,0.979154,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.2,6,0.978037,0.0,0.979418,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.2,7,0.976637,0.0,0.977803,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.2,8,0.979533,0.0,0.978405,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.2,9,0.98149,0.0,0.978539,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.2,0,0.970655,0.006684,0.9789,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.2,1,0.973689,0.004258,0.977973,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.2,2,0.977093,0.00807,0.980926,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.2,3,0.973713,0.007478,0.975959,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.2,4,0.972733,0.00849,0.979424,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.2,5,0.96797,0.007629,0.980807,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.2,6,0.972079,0.006367,0.978314,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.2,7,0.970378,0.008314,0.980556,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.2,8,0.971946,0.003344,0.979349,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.2,9,0.97365,0.005278,0.975817,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.2,0,0.975759,0.001497,0.97631,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.2,1,0.972759,0.001277,0.979872,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.2,2,0.969968,0.004964,0.978832,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.2,3,0.97197,0.002347,0.977026,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.2,4,0.974633,0.003513,0.978769,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.2,5,0.974119,0.003475,0.979273,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.2,6,0.972969,0.003934,0.980782,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.2,7,0.972505,0.003294,0.976683,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.2,8,0.976303,0.005288,0.978777,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.2,9,0.975607,0.001632,0.974688,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.2,0,0.977228,0.003318,0.977993,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.2,1,0.975803,0.002317,0.977524,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.2,2,0.973352,0.002242,0.979478,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.2,3,0.977512,0.002561,0.977152,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.2,4,0.972708,0.001402,0.978088,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.2,5,0.974611,0.003714,0.977348,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.2,6,0.971928,0.001764,0.978885,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.2,7,0.97437,0.003173,0.978933,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.2,8,0.974245,0.003279,0.977476,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.2,9,0.977225,0.001921,0.977679,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.2,0,0.936014,0.113017,0.979539,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.2,1,0.927681,0.085281,0.975567,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.2,2,0.938531,0.108814,0.976572,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.2,3,0.924572,0.100863,0.978758,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.2,4,0.930606,0.103394,0.977246,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.2,5,0.930775,0.117289,0.979048,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.2,6,0.943987,0.094795,0.975578,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.2,7,0.930036,0.101092,0.977542,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.2,8,0.93445,0.105371,0.976937,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.2,9,0.937614,0.116603,0.973879,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.2,0,0.919637,0.097742,0.977738,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.2,1,0.936293,0.094168,0.973957,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.2,2,0.930948,0.101842,0.978482,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.2,3,0.931617,0.087361,0.9815,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.2,4,0.926448,0.099162,0.980009,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.2,5,0.924338,0.110344,0.979553,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.2,6,0.92812,0.102914,0.977925,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.2,7,0.919009,0.107064,0.978855,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.2,8,0.925513,0.114223,0.979109,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.2,9,0.936408,0.086739,0.97687,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.2,0,0.917271,0.065793,0.979309,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.2,1,0.914115,0.067388,0.97712,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.2,2,0.916548,0.067207,0.978844,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.2,3,0.926513,0.060833,0.977891,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.2,4,0.921052,0.078593,0.977626,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.2,5,0.912116,0.070391,0.979066,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.2,6,0.920893,0.062671,0.977729,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.2,7,0.923539,0.059023,0.97674,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.2,8,0.917267,0.071125,0.978766,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.2,9,0.921479,0.069512,0.976333,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.3,0,0.981624,0.0,0.979098,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.3,1,0.978178,0.0,0.977727,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.3,2,0.980779,0.0,0.976814,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.3,3,0.979267,0.0,0.976641,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.3,4,0.977309,0.0,0.976572,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.3,5,0.976044,0.0,0.979342,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.3,6,0.981165,0.0,0.974864,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.3,7,0.977366,0.0,0.978058,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.3,8,0.979683,0.0,0.973822,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.3,9,0.977809,0.0,0.980054,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.3,0,0.972657,0.011687,0.979592,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.3,1,0.972213,0.013717,0.976409,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.3,2,0.972553,0.009427,0.975777,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.3,3,0.970975,0.009538,0.977223,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.3,4,0.969601,0.009992,0.976051,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.3,5,0.971651,0.01127,0.976599,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.3,6,0.971897,0.009075,0.979344,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.3,7,0.970684,0.012843,0.978634,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.3,8,0.971079,0.010433,0.981246,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.3,9,0.975166,0.009481,0.978326,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.3,0,0.974412,0.004787,0.980957,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.3,1,0.976661,0.003866,0.977591,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.3,2,0.980899,0.004833,0.976794,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.3,3,0.973318,0.000858,0.976305,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.3,4,0.977568,0.002728,0.977361,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.3,5,0.97675,0.00415,0.977371,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.3,6,0.977734,0.001771,0.977629,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.3,7,0.973785,0.002704,0.978151,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.3,8,0.97549,0.003965,0.977713,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,random,0.3,9,0.974202,0.005218,0.977516,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.3,0,0.97179,0.002593,0.97861,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.3,1,0.978013,0.00419,0.975011,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.3,2,0.978667,0.004676,0.978782,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.3,3,0.974233,0.005035,0.978385,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.3,4,0.973789,0.002951,0.978783,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.3,5,0.976484,0.002977,0.979846,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.3,6,0.97277,0.003312,0.981797,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.3,7,0.977401,0.003933,0.975768,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.3,8,0.978145,0.006954,0.980692,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,random,0.3,9,0.975933,0.00214,0.978842,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.3,0,0.932732,0.112824,0.978803,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.3,1,0.932746,0.105756,0.97737,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.3,2,0.931784,0.106041,0.978451,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.3,3,0.934698,0.121148,0.978254,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.3,4,0.927555,0.119654,0.976094,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.3,5,0.929623,0.10844,0.979181,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.3,6,0.931589,0.106049,0.976736,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.3,7,0.932608,0.113706,0.977482,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.3,8,0.917825,0.115572,0.977888,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,random,0.3,9,0.922425,0.117807,0.978381,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.3,0,0.926889,0.129315,0.97889,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.3,1,0.932153,0.115307,0.977523,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.3,2,0.920389,0.108567,0.97822,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.3,3,0.91529,0.101323,0.97723,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.3,4,0.943871,0.106082,0.978176,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.3,5,0.929892,0.107027,0.975713,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.3,6,0.920875,0.129645,0.977914,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.3,7,0.918017,0.110097,0.980051,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.3,8,0.92742,0.106107,0.975222,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,random,0.3,9,0.925717,0.117801,0.974434,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.3,0,0.913226,0.07351,0.978396,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.3,1,0.919514,0.081181,0.97865,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.3,2,0.910697,0.076879,0.978605,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.3,3,0.916991,0.072149,0.978609,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.3,4,0.915473,0.069975,0.977117,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.3,5,0.918183,0.063253,0.979996,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.3,6,0.912392,0.07752,0.979288,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.3,7,0.922064,0.079037,0.975394,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.3,8,0.919898,0.059655,0.98022,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,random,0.3,9,0.915055,0.066287,0.980299,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.4,0,0.978335,0.0,0.978476,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.4,1,0.976572,0.0,0.979147,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.4,2,0.97896,0.0,0.977264,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.4,3,0.97754,0.0,0.979916,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.4,4,0.976354,0.0,0.979398,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.4,5,0.982515,0.0,0.979808,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.4,6,0.98054,0.0,0.975917,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.4,7,0.974208,0.0,0.978469,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.4,8,0.976422,0.0,0.978507,2000
MS-MARCO-RBAC,8000000,8000000,Oracle,random,0.4,9,0.979569,0.0,0.980347,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.4,0,0.970751,0.011144,0.976282,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.4,1,0.974865,0.00963,0.9811,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.4,2,0.973508,0.009353,0.977888,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.4,3,0.974194,0.009479,0.980813,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.4,4,0.97641,0.007176,0.97764,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.4,5,0.969076,0.010979,0.979597,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.4,6,0.971536,0.009648,0.978569,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,random,0.4,7,0.972088,0.006142,0.977663,2000
