dataset,N,N_indexed,method,pattern,frac,seed,result_leakage,scored_leakage,frontier_leakage,expanded_leakage,returned_leakage,drift10_vs_oracle_rebuild,recall10_vs_exact_topk,latency_mean_ms,latency_p95_ms,latency_p99_ms,memory_ratio_vs_shared,revocation_throughput,compliance_window_s,build_time_s,update_time_ms,operational_leakage
LegalBench-RAG,1200000,1200000,ACORN,bridge,0.3,4,0.0,0.07869321,0.10238546,0.11111111,0.0,0.074386,0.960513,8.569151,15.945518,22.480072,1.181466,22782.876,0.049984,10.779,0.042277,0.07661031
LegalBench-RAG,1200000,1200000,ACORN,bridge,0.3,5,0.0,0.09008007,0.11485089,0.14388121,0.0,0.060783,0.957688,9.186958,16.238068,24.380264,1.158042,25263.269,0.053149,10.441,0.041356,0.08899299
LegalBench-RAG,1200000,1200000,ACORN,bridge,0.3,6,0.0,0.09987684,0.12023742,0.14310144,0.0,0.067867,0.962354,9.023721,16.509233,24.286429,1.171384,24171.029,0.048036,10.648,0.043537,0.09420656
LegalBench-RAG,1200000,1200000,ACORN,bridge,0.3,7,0.0,0.08233042,0.10777141,0.11534515,0.0,0.069305,0.959752,9.007154,15.285323,24.086049,1.194018,24042.829,0.049077,10.863,0.043548,0.08053572
LegalBench-RAG,1200000,1200000,ACORN,bridge,0.3,8,0.0,0.0924409,0.12295104,0.12830527,0.0,0.073455,0.961751,9.216015,16.49586,22.711912,1.177763,23510.524,0.047399,9.964,0.042056,0.09132912
LegalBench-RAG,1200000,1200000,ACORN,bridge,0.3,9,0.0,0.08125345,0.11051966,0.12131754,0.0,0.066058,0.956293,9.03926,16.645781,22.476371,1.189412,25862.278,0.050651,10.264,0.042958,0.08063584
LegalBench-RAG,1200000,1200000,HoneyBee,bridge,0.3,0,0.0,0.08089777,0.09287639,0.09550257,0.0,0.062768,0.960104,8.568752,17.355929,22.543352,1.157753,25693.25,0.044464,10.779,0.03953,0.07380926
LegalBench-RAG,1200000,1200000,HoneyBee,bridge,0.3,1,0.0,0.06987545,0.09457478,0.11138702,0.0,0.054052,0.966864,8.797156,15.827923,21.71123,1.156191,22517.607,0.039282,11.275,0.038046,0.07032318
LegalBench-RAG,1200000,1200000,HoneyBee,bridge,0.3,2,0.0,0.06832183,0.08880511,0.09237127,0.0,0.058556,0.959481,8.943603,15.590208,22.769021,1.160758,25244.662,0.043664,10.852,0.03849,0.06667118
LegalBench-RAG,1200000,1200000,HoneyBee,bridge,0.3,3,0.0,0.06921212,0.09641063,0.10923143,0.0,0.060832,0.964169,8.705967,16.62802,23.668728,1.156033,25217.112,0.041315,10.462,0.038481,0.06846457
LegalBench-RAG,1200000,1200000,HoneyBee,bridge,0.3,4,0.0,0.0728458,0.09541633,0.10042061,0.0,0.054805,0.965743,8.721229,16.050814,23.384355,1.147507,25962.703,0.040568,10.349,0.037617,0.07069156
LegalBench-RAG,1200000,1200000,HoneyBee,bridge,0.3,5,0.0,0.07191638,0.08769689,0.08291667,0.0,0.04884,0.960666,8.777812,15.72027,21.871227,1.125758,26182.271,0.039541,10.128,0.037263,0.06635535
LegalBench-RAG,1200000,1200000,HoneyBee,bridge,0.3,6,0.0,0.06496523,0.08268369,0.09131075,0.0,0.051749,0.964275,8.401881,16.663948,23.300125,1.142368,24751.825,0.040938,9.963,0.038631,0.06220976
LegalBench-RAG,1200000,1200000,HoneyBee,bridge,0.3,7,0.0,0.05522885,0.07011539,0.07784918,0.0,0.050364,0.968077,8.736829,16.971169,22.961882,1.146459,24035.707,0.038639,10.486,0.038663,0.05344144
LegalBench-RAG,1200000,1200000,HoneyBee,bridge,0.3,8,0.0,0.06767154,0.09058034,0.10351745,0.0,0.05608,0.961266,8.737532,14.704833,22.128223,1.130286,24466.266,0.038466,10.904,0.04252,0.06748832
LegalBench-RAG,1200000,1200000,HoneyBee,bridge,0.3,9,0.0,0.0673562,0.08667783,0.09083648,0.0,0.057247,0.960055,8.482184,15.95889,24.136074,1.148837,25772.612,0.040904,11.251,0.038582,0.06481568
LegalBench-RAG,1200000,1200000,SPFresh,bridge,0.3,0,0.0,0.14513922,0.17945968,0.20973082,0.0,0.099134,0.948001,8.783397,15.460412,25.003473,1.060729,17011.0,8.082893,10.101,0.058785,0.1392726
LegalBench-RAG,1200000,1200000,SPFresh,bridge,0.3,1,0.0,0.13420538,0.18552143,0.23910206,0.0,0.103854,0.958024,8.689189,15.411831,23.207816,1.070438,17011.0,7.72819,11.114,0.058785,0.13453417
LegalBench-RAG,1200000,1200000,SPFresh,bridge,0.3,2,0.0,0.14204239,0.18341963,0.1953541,0.0,0.100058,0.951274,8.460157,15.494272,24.340454,1.085497,17011.0,7.850526,9.731,0.058785,0.13845069
LegalBench-RAG,1200000,1200000,SPFresh,bridge,0.3,3,0.0,0.14789698,0.20216596,0.22496947,0.0,0.099542,0.956373,8.706949,16.412786,22.336769,1.082716,17011.0,8.010142,9.847,0.058785,0.14687314
LegalBench-RAG,1200000,1200000,SPFresh,bridge,0.3,4,0.0,0.15637819,0.18896502,0.20037662,0.0,0.100115,0.958038,8.04181,16.969202,22.603709,1.060579,17011.0,8.108412,9.956,0.058785,0.14609425
LegalBench-RAG,1200000,1200000,SPFresh,bridge,0.3,5,0.0,0.1543648,0.18894612,0.18221474,0.0,0.104347,0.952127,8.378226,15.392814,22.649694,1.080243,17011.0,8.061668,10.867,0.058785,0.14536817
LegalBench-RAG,1200000,1200000,SPFresh,bridge,0.3,6,0.0,0.14051408,0.1909062,0.20149953,0.0,0.097656,0.963662,8.228427,16.770095,23.238931,1.086033,17011.0,8.20714,10.15,0.058785,0.13724394
LegalBench-RAG,1200000,1200000,SPFresh,bridge,0.3,7,0.0,0.14217798,0.19031271,0.2053596,0.0,0.104299,0.949095,8.289496,16.214649,21.821013,1.069147,17011.0,7.903701,9.513,0.058785,0.14140767
LegalBench-RAG,1200000,1200000,SPFresh,bridge,0.3,8,0.0,0.14405674,0.18852015,0.19630908,0.0,0.099986,0.956488,8.772746,15.229056,23.511932,1.075947,17011.0,8.22419,9.449,0.058785,0.13919548
LegalBench-RAG,1200000,1200000,SPFresh,bridge,0.3,9,0.0,0.14920791,0.1864637,0.21714972,0.0,0.099558,0.958728,8.507755,15.543767,21.974339,1.074038,17011.0,8.233478,9.306,0.058785,0.14383538
LegalBench-RAG,1200000,1200000,Physical-delete,bridge,0.3,0,0.0,0.0,0.0,0.0,0.0,0.040945,0.945365,9.796791,19.29077,27.675616,0.954776,2461.0,0.120479,10.349,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,bridge,0.3,1,0.0,0.0,0.0,0.0,0.0,0.046571,0.949992,10.555825,19.392589,26.363476,0.958664,2461.0,0.10983,9.151,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,bridge,0.3,2,0.0,0.0,0.0,0.0,0.0,0.040751,0.943649,10.05835,19.664666,25.327562,0.948869,2461.0,0.108257,8.947,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,bridge,0.3,3,0.0,0.0,0.0,0.0,0.0,0.038727,0.943824,9.618124,19.296212,27.001682,0.977806,2461.0,0.117981,10.596,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,bridge,0.3,4,0.0,0.0,0.0,0.0,0.0,0.044005,0.943115,9.998268,19.28012,27.081311,0.957521,2461.0,0.117306,9.864,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,bridge,0.3,5,0.0,0.0,0.0,0.0,0.0,0.032516,0.942735,9.71857,17.787684,28.273593,0.963817,2461.0,0.121219,9.93,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,bridge,0.3,6,0.0,0.0,0.0,0.0,0.0,0.036503,0.944687,10.16738,19.244126,25.433551,0.959143,2461.0,0.119236,10.713,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,bridge,0.3,7,0.0,0.0,0.0,0.0,0.0,0.042104,0.946277,9.971893,18.204781,29.353818,0.962236,2461.0,0.120324,10.907,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,bridge,0.3,8,0.0,0.0,0.0,0.0,0.0,0.034724,0.943629,10.101982,19.406517,28.288164,0.953909,2461.0,0.125748,9.72,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,bridge,0.3,9,0.0,0.0,0.0,0.0,0.0,0.046895,0.944278,10.368602,19.115151,25.786561,0.964706,2461.0,0.11885,10.61,0.406339,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,bridge,0.3,0,0.0,0.08862719,0.11809625,0.14765101,0.0,0.077545,0.962371,9.818286,16.259819,24.884283,1.062079,10931.0,224.944795,10.369,0.091483,0.08790016
LegalBench-RAG,1200000,1200000,Periodic-rebuild,bridge,0.3,1,0.0,0.09719344,0.11551321,0.12603836,0.0,0.076977,0.961401,9.731039,16.746539,22.749263,1.06216,10931.0,222.907705,9.635,0.091483,0.09018909
LegalBench-RAG,1200000,1200000,Periodic-rebuild,bridge,0.3,2,0.0,0.10091972,0.12605738,0.1423715,0.0,0.078077,0.967723,9.466432,18.147951,22.980074,1.064858,10931.0,220.100786,9.04,0.091483,0.09719376
LegalBench-RAG,1200000,1200000,Periodic-rebuild,bridge,0.3,3,0.0,0.10237786,0.13158304,0.14627135,0.0,0.074216,0.962781,9.205198,16.824167,23.895757,1.062257,10931.0,230.849937,9.618,0.091483,0.09801173
LegalBench-RAG,1200000,1200000,Periodic-rebuild,bridge,0.3,4,0.0,0.09382674,0.12953708,0.12678842,0.0,0.077484,0.96216,9.38265,17.51671,22.680565,1.06093,10931.0,220.795055,9.641,0.091483,0.09296715
LegalBench-RAG,1200000,1200000,Periodic-rebuild,bridge,0.3,5,0.0,0.08521364,0.11339184,0.13568302,0.0,0.08168,0.969121,9.673755,17.273291,24.520165,1.078815,10931.0,221.684655,10.358,0.091483,0.08441106
LegalBench-RAG,1200000,1200000,Periodic-rebuild,bridge,0.3,6,0.0,0.09293338,0.12829137,0.13990277,0.0,0.079401,0.959112,8.92728,17.393208,24.093823,1.055387,10931.0,209.477028,10.294,0.091483,0.09232982
LegalBench-RAG,1200000,1200000,Periodic-rebuild,bridge,0.3,7,0.0,0.10610924,0.13298755,0.13982624,0.0,0.071763,0.958518,9.23104,17.010338,24.206533,1.064015,10931.0,213.505685,10.563,0.091483,0.10227888
LegalBench-RAG,1200000,1200000,Periodic-rebuild,bridge,0.3,8,0.0,0.102408,0.12515292,0.13469091,0.0,0.081123,0.966786,9.052377,16.07933,25.037617,1.063084,10931.0,252.3777,10.287,0.091483,0.09660582
LegalBench-RAG,1200000,1200000,Periodic-rebuild,bridge,0.3,9,0.0,0.08474944,0.1133337,0.11179335,0.0,0.081741,0.962739,9.412428,17.04004,24.616822,1.061213,10931.0,222.133241,10.02,0.091483,0.08282494
LegalBench-RAG,1200000,1200000,Per-role-index,bridge,0.3,0,0.0,0.0,0.0,0.0,0.0,0.006673,0.979909,7.859993,13.675622,18.24404,38.206245,4000.0,0.084069,19.831,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,bridge,0.3,1,0.0,0.0,0.0,0.0,0.0,0.005,0.982042,7.664874,14.06918,20.472413,36.954583,4000.0,0.075249,20.457,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,bridge,0.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.974083,7.461394,14.267977,18.647775,38.719183,4000.0,0.076299,21.724,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,bridge,0.3,3,0.0,0.0,0.0,0.0,0.0,0.002405,0.980338,7.604184,14.395051,19.878916,38.757761,4000.0,0.073663,19.175,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,bridge,0.3,4,0.0,0.0,0.0,0.0,0.0,0.010917,0.979501,7.760506,14.444792,20.921569,38.248043,4000.0,0.082391,17.326,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,bridge,0.3,5,0.0,0.0,0.0,0.0,0.0,0.001267,0.978566,7.537162,13.627893,19.571854,37.806198,4000.0,0.082133,21.008,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,bridge,0.3,6,0.0,0.0,0.0,0.0,0.0,0.009909,0.974466,7.437437,13.637032,18.441241,38.592503,4000.0,0.07596,20.768,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,bridge,0.3,7,0.0,0.0,0.0,0.0,0.0,0.009013,0.976789,7.397481,14.141432,19.304526,37.820617,4000.0,0.08134,21.236,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,bridge,0.3,8,0.0,0.0,0.0,0.0,0.0,0.006349,0.980362,7.657164,13.439598,20.582748,38.016194,4000.0,0.07787,19.935,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,bridge,0.3,9,0.0,0.0,0.0,0.0,0.0,0.012928,0.98095,7.776756,13.632398,19.085436,37.709051,4000.0,0.076753,22.095,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.975913,7.335701,13.205884,19.976252,3035.268088,3395.363,0.062308,49.449,0.298117,
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.977826,7.279227,14.180703,18.905429,3048.558638,3545.554,0.062214,44.855,0.288583,
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.979993,7.644512,12.675216,18.665863,3005.373608,3327.068,0.059755,51.467,0.275968,
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.3,3,0.0,0.0,0.0,0.0,0.0,0.005138,0.979298,7.252288,14.0332,20.400902,2951.938605,3294.2,0.058185,48.369,0.267452,
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.3,4,0.0,0.0,0.0,0.0,0.0,0.00223,0.978853,7.411369,13.609067,18.438412,2911.005402,3410.052,0.059967,47.464,0.281756,
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.3,5,0.0,0.0,0.0,0.0,0.0,0.005647,0.98047,7.419202,13.887822,21.55279,3022.788108,3377.047,0.059718,48.746,0.294897,
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.3,6,0.0,0.0,0.0,0.0,0.0,0.00494,0.975457,7.362902,13.855476,19.993829,2981.582485,3618.24,0.059262,50.54,0.272798,
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.3,7,0.0,0.0,0.0,0.0,0.0,0.005488,0.979397,6.888519,14.785883,18.470288,3033.02564,3658.708,0.063364,45.993,0.289188,
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.3,8,0.0,0.0,0.0,0.0,0.0,0.00097,0.97724,7.330752,13.608645,21.243826,2982.252885,3461.951,0.063891,52.05,0.286401,
LegalBench-RAG,1200000,1200000,Per-user-index,bridge,0.3,9,0.0,0.0,0.0,0.0,0.0,0.002093,0.975985,7.589742,14.545824,19.195004,3054.464697,3252.594,0.059776,45.339,0.272216,
LegalBench-RAG,1200000,1200000,Lethe,bridge,0.3,0,0.0,0.0,0.0,0.0,0.0,0.009289,0.973547,8.182033,16.054107,21.819264,1.102641,49975.0,0.006208,10.474,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,bridge,0.3,1,0.0,0.0,0.0,0.0,0.0,0.002157,0.977604,7.85372,14.805186,20.556856,1.102131,49975.0,0.006021,10.168,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,bridge,0.3,2,0.0,0.0,0.0,0.0,0.0,0.009141,0.976816,8.469535,14.358403,21.674854,1.12827,49975.0,0.006233,10.775,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,bridge,0.3,3,0.0,0.0,0.0,0.0,0.0,0.013648,0.979009,8.314498,15.180594,22.932039,1.107861,49975.0,0.006244,10.558,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,bridge,0.3,4,0.0,0.0,0.0,0.0,0.0,0.008353,0.974717,7.852604,15.647254,23.133311,1.106154,49975.0,0.006005,10.395,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,bridge,0.3,5,0.0,0.0,0.0,0.0,0.0,0.014454,0.973909,8.28031,16.036313,24.304986,1.094607,49975.0,0.006202,9.877,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,bridge,0.3,6,0.0,0.0,0.0,0.0,0.0,0.017724,0.98167,8.266382,15.728051,22.67915,1.077921,49975.0,0.006051,11.056,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,bridge,0.3,7,0.0,0.0,0.0,0.0,0.0,0.007222,0.980552,8.365877,16.166864,23.05019,1.089619,49975.0,0.005928,10.118,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,bridge,0.3,8,0.0,0.0,0.0,0.0,0.0,0.01338,0.976538,8.011965,15.941239,21.479591,1.07926,49975.0,0.006031,10.649,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,bridge,0.3,9,0.0,0.0,0.0,0.0,0.0,0.012829,0.977287,8.923405,15.969186,22.392266,1.08377,49975.0,0.006114,10.589,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.3,0,0.0,0.0,0.0,0.0,0.0,0.055799,0.92657,8.063283,13.696498,20.194263,1.007323,40252.051,0.005298,10.377,0.025359,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.3,1,0.0,0.0,0.0,0.0,0.0,0.055882,0.924113,7.226708,14.76734,19.849,1.019612,41524.796,0.005144,10.902,0.027419,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.3,2,0.0,0.0,0.0,0.0,0.0,0.055727,0.927681,7.824731,13.839596,21.033116,1.008708,39711.518,0.005107,10.43,0.024882,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.3,3,0.0,0.0,0.0,0.0,0.0,0.048995,0.928206,7.57889,14.393013,20.359117,1.022477,42069.022,0.004953,9.646,0.024313,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.3,4,0.0,0.0,0.0,0.0,0.0,0.05533,0.926778,8.12704,15.238883,19.182952,1.012163,41479.831,0.005046,9.568,0.025622,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.3,5,0.0,0.0,0.0,0.0,0.0,0.056697,0.920922,7.334864,14.423567,20.503366,1.028541,42866.588,0.00506,9.785,0.026087,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.3,6,0.0,0.0,0.0,0.0,0.0,0.057949,0.923758,7.851553,14.737838,20.551334,1.031005,42692.882,0.004831,10.193,0.02438,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.3,7,0.0,0.0,0.0,0.0,0.0,0.046809,0.930731,7.921151,14.344523,20.11885,1.01425,41512.753,0.004915,9.79,0.022972,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.3,8,0.0,0.0,0.0,0.0,0.0,0.054884,0.929712,7.58715,14.704783,19.678264,1.02975,44152.54,0.004886,9.659,0.023291,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,bridge,0.3,9,0.0,0.0,0.0,0.0,0.0,0.051134,0.924022,7.340284,14.643051,21.073855,1.017745,42054.443,0.004354,8.89,0.024951,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,bridge,0.3,0,0.0,0.26532447,0.32230001,0.36926134,0.0,0.155453,0.955462,7.692601,13.881161,20.801026,1.020638,41778.588,0.004846,9.418,0.019444,0.25161225
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,bridge,0.3,1,0.0,0.25914838,0.3104919,0.38679111,0.0,0.147099,0.960518,7.634994,14.154419,20.254474,1.043084,46667.525,0.004679,10.25,0.021169,0.24811116
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,bridge,0.3,2,0.0,0.24368981,0.33664276,0.39372272,0.0,0.151875,0.952605,7.546228,13.919554,20.957197,1.023554,43128.098,0.004957,9.346,0.023058,0.24554107
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,bridge,0.3,3,0.0,0.24507726,0.32305648,0.36088081,0.0,0.154447,0.95798,7.738878,13.900123,19.760397,1.037854,46329.741,0.00499,10.867,0.022866,0.24321536
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,bridge,0.3,4,0.0,0.26709222,0.33228746,0.37850245,0.0,0.15306,0.959862,7.649566,14.433499,20.590907,1.043932,46557.527,0.004957,9.966,0.023066,0.25424735
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,bridge,0.3,5,0.0,0.2469388,0.34542266,0.36902082,0.0,0.152945,0.952856,7.945927,14.747301,21.358804,1.033749,46522.852,0.00526,10.712,0.023132,0.24918766
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,bridge,0.3,6,0.0,0.24936621,0.33112316,0.3810028,0.0,0.156312,0.956063,7.264183,15.178397,19.041971,1.041151,43549.151,0.005251,10.838,0.021921,0.24493765
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,bridge,0.3,7,0.0,0.24555931,0.30973615,0.33961971,0.0,0.150775,0.953091,7.424011,14.627883,19.153142,1.04196,45011.424,0.004911,10.45,0.023915,0.23349939
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,bridge,0.3,8,0.0,0.25542755,0.31886813,0.34299244,0.0,0.152893,0.957328,7.73737,13.798622,22.766584,1.016689,44945.386,0.004941,10.815,0.021243,0.2448783
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,bridge,0.3,9,0.0,0.25781688,0.33207086,0.38712467,0.0,0.161091,0.955169,7.060718,14.674594,19.747391,1.020912,45492.936,0.005464,10.721,0.022109,0.25019404
LegalBench-RAG,1200000,1200000,Oracle,bridge,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.981178,7.504011,12.896392,17.893547,1.019124,1203.045,605.632855,10.073,0.89385,0.0
LegalBench-RAG,1200000,1200000,Oracle,bridge,0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.985072,7.940994,13.10969,20.959668,1.015424,1223.401,593.800071,9.618,0.771064,0.0
LegalBench-RAG,1200000,1200000,Oracle,bridge,0.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.978373,7.40711,14.384516,21.212613,1.003054,1218.915,597.502051,9.9,0.882108,0.0
LegalBench-RAG,1200000,1200000,Oracle,bridge,0.3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.98323,7.210809,13.735467,18.729845,0.996763,1269.936,615.655523,9.629,0.902463,0.0
LegalBench-RAG,1200000,1200000,Oracle,bridge,0.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.989691,7.674661,14.331794,19.640544,1.009283,1225.517,605.317757,10.126,0.874337,0.0
LegalBench-RAG,1200000,1200000,Oracle,bridge,0.3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.981844,7.37472,13.721821,18.646959,0.980114,1105.011,602.400489,10.192,0.777454,0.0
LegalBench-RAG,1200000,1200000,Oracle,bridge,0.3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.981992,7.75525,13.083788,17.940897,0.999964,1180.201,623.799409,9.762,0.838151,0.0
LegalBench-RAG,1200000,1200000,Oracle,bridge,0.3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.988063,7.202947,13.207246,20.084667,1.003023,1155.036,576.000168,10.396,0.881856,0.0
LegalBench-RAG,1200000,1200000,Oracle,bridge,0.3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.982167,7.162949,14.200045,19.190786,1.018934,1197.691,637.833178,9.454,0.821809,0.0
LegalBench-RAG,1200000,1200000,Oracle,bridge,0.3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.982266,7.221079,13.143373,19.400535,1.019874,1189.695,592.479767,9.772,0.885093,0.0
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.4,0,0.0,0.29544328,0.41368859,0.46864615,0.0,0.212994,0.943865,7.523806,13.322948,20.749725,1.013259,95077.0,3546.416876,10.726,0.010518,0.2995876
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.4,1,0.0,0.32347469,0.38519169,0.39543589,0.0,0.203197,0.942173,7.263079,12.883498,20.377757,0.990744,95077.0,3492.89755,10.956,0.010518,0.29872224
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.4,2,0.0,0.29839369,0.40033437,0.46715226,0.0,0.20692,0.937213,7.38593,13.493879,19.726454,0.999166,95077.0,3640.689261,11.007,0.010518,0.29948435
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.4,3,0.0,0.33330876,0.36585231,0.4168462,0.0,0.207037,0.938088,7.042633,13.613395,20.517048,1.012595,95077.0,3550.196918,9.372,0.010518,0.302336
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.4,4,0.0,0.30176087,0.40534004,0.44561695,0.0,0.20826,0.946,7.311858,13.399511,20.248668,1.0199,95077.0,3483.721513,10.302,0.010518,0.2932659
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.4,5,0.0,0.2948017,0.4186053,0.47109762,0.0,0.202255,0.948105,7.550514,13.60129,21.304141,1.000889,95077.0,3756.50902,10.137,0.010518,0.30098184
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.4,6,0.0,0.317115,0.39277707,0.39760313,0.0,0.20872,0.939422,7.595471,14.220969,20.200031,1.006034,95077.0,3496.286855,9.835,0.010518,0.29580185
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.4,7,0.0,0.29625801,0.38787239,0.4363796,0.0,0.206793,0.943177,7.078811,14.45364,20.244411,1.014082,95077.0,3441.412503,9.671,0.010518,0.28976702
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.4,8,0.0,0.32225084,0.40274787,0.39150856,0.0,0.201387,0.939765,7.392696,12.718241,18.171996,1.006488,95077.0,3611.003708,9.898,0.010518,0.30637224
LegalBench-RAG,1200000,1200000,Tombstone,bridge,0.4,9,0.0,0.3035756,0.39828895,0.54674471,0.0,0.206208,0.939754,7.167266,13.18843,18.889675,1.013392,95077.0,3681.66421,10.229,0.010518,0.30501159
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.4,0,0.0,0.3183674,0.4067424,0.43267636,0.0,0.222236,0.934535,8.052372,14.343625,19.424571,1.011775,87502.014,3677.550751,9.066,0.011291,0.30997665
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.4,1,0.0,0.32398362,0.41542846,0.41950777,0.0,0.223197,0.936815,7.881029,14.542855,20.04409,1.029069,87017.298,3689.967561,9.832,0.011322,0.30997883
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.4,2,0.0,0.31045602,0.41539728,0.50185763,0.0,0.223218,0.930605,7.682848,14.676709,19.363868,1.032562,85554.183,3233.269765,10.134,0.010756,0.30999261
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.4,3,0.0,0.32963536,0.40355417,0.41649356,0.0,0.214955,0.930905,7.889573,14.741863,20.251046,1.034425,88314.056,3517.221923,10.87,0.011132,0.30998709
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.4,4,0.0,0.31909428,0.39886139,0.49473299,0.0,0.21738,0.935072,7.509458,13.698305,20.17966,1.032474,90379.454,3702.285121,10.851,0.010973,0.30997874
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.4,5,0.0,0.30887026,0.43625922,0.45211565,0.0,0.22036,0.937052,7.058735,14.089319,20.669835,1.032086,100316.512,3676.69967,10.719,0.010944,0.30998489
LegalBench-RAG,1200000,1200000,Post-filter,bridge,0.4,6,0.0,0.32663837,0.39702006,0.44353322,0.0,0.215762,0.934152,7.725066,14.48597,19.975942,1.016034,80559.732,3696.65211,9.913,0.011809,0.30998802
